"Year";"Correlation";"parameter"
"2015-2017";-0.147512759620153;"Lyman alpha solar index"
"2015-2017";-0.118610635532002;"Solar index_F10.7"
"2015-2017";0.097859143548929;"Proton flux over 30 MeV"
"2015-2017";0.0946317337238846;"Proton flux over 60 MeV"
"2015-2017";0.0937304591280143;"Dst index"
"2015-2017";-0.0796372400733716;"Solar wind density"
"2015-2017";0.0711427931923938;"Proton flux over 10 MeV"
"2015-2017";0.0517648872918229;"Solar wind speed"
"2015-2017";-0.0436565862585876;"Polar cap south (Vostok)"
"2015-2017";-0.0380963383758744;"R sunspot number"
"2015-2017";0.0317761614482082;"Solar wind temperature"
"2015-2017";0.0213228429413696;"Polar cap north (Thule)"
"2015-2017";-0.00347013367490279;"Ap index"
"2015-2017";0.00222634920942812;"Kp index"
