"Year";"Correlation";"parameter"
"2011-2013";0.114026726896959;"R sunspot number"
"2011-2013";-0.100681671665955;"Solar wind density"
"2011-2013";0.0885497244300339;"Dst index"
"2011-2013";0.0767268881497193;"Lyman alpha solar index"
"2011-2013";-0.0668242096498285;"Proton flux over 30 MeV"
"2011-2013";-0.0645234341606626;"Proton flux over 60 MeV"
"2011-2013";-0.0628119964983566;"Proton flux over 10 MeV"
"2011-2013";-0.0609855002588087;"Ap index"
"2011-2013";-0.0606233371007326;"Polar cap north (Thule)"
"2011-2013";0.0530937963446946;"Solar wind temperature"
"2011-2013";0.0488400063242176;"Solar index_F10.7"
"2011-2013";-0.0323177495192859;"Kp index"
"2011-2013";0.020773357588353;"AU index"
"2011-2013";0.00969747426403487;"AL index"
"2011-2013";-0.00924746081842136;"Polar cap south (Vostok)"
"2011-2013";-0.00578815284685712;"Solar wind speed"
"2011-2013";0.00260669868000779;"AE index"
