Week;Zraneni;Proton60
1.tyzden.2016;9;0.061375
2.tyzden.2016;18;0.058214
3.tyzden.2016;8;0.060893
4.tyzden.2016;16;0.062381
5.tyzden.2016;8;0.059107
6.tyzden.2016;11;0.061012
7.tyzden.2016;13;0.061131
8.tyzden.2016;16;0.061488
9.tyzden.2016;8;0.063691
10.tyzden.2016;7;0.064107
11.tyzden.2016;18;0.061369
12.tyzden.2016;6;0.059167
13.tyzden.2016;12;0.061964
14.tyzden.2016;12;0.062143
15.tyzden.2016;11;0.060298
16.tyzden.2016;14;0.060893
17.tyzden.2016;20;0.063512
18.tyzden.2016;11;0.060357
19.tyzden.2016;10;0.064345
20.tyzden.2016;12;0.060238
21.tyzden.2016;15;0.062500
22.tyzden.2016;20;0.065357
23.tyzden.2016;24;0.064762
24.tyzden.2016;14;0.059702
25.tyzden.2016;16;0.062024
26.tyzden.2016;15;0.063809
27.tyzden.2016;16;0.064345
28.tyzden.2016;27;0.059524
29.tyzden.2016;9;0.062917
30.tyzden.2016;12;0.065119
31.tyzden.2016;25;0.063393
32.tyzden.2016;27;0.062798
33.tyzden.2016;30;0.062619
34.tyzden.2016;15;0.065476
35.tyzden.2016;23;0.063452
36.tyzden.2016;24;0.063691
37.tyzden.2016;30;0.065655
38.tyzden.2016;18;0.066190
39.tyzden.2016;13;0.063928
40.tyzden.2016;19;0.066667
41.tyzden.2016;11;0.066964
42.tyzden.2016;16;0.068036
43.tyzden.2016;16;0.064524
44.tyzden.2016;17;0.068214
45.tyzden.2016;16;0.068928
46.tyzden.2016;17;0.070417
47.tyzden.2016;23;0.064821
48.tyzden.2016;13;0.068214
49.tyzden.2016;12;0.068393
50.tyzden.2016;21;0.071786
51.tyzden.2016;12;0.066488
52.tyzden.2016;9;0.068056
