Week;Zraneni;Proton10
1.tyzden.2018;12;0.241190
2.tyzden.2018;22;0.248333
3.tyzden.2018;18;0.258274
4.tyzden.2018;15;0.252738
5.tyzden.2018;10;0.245893
6.tyzden.2018;18;0.251548
7.tyzden.2018;15;0.263809
8.tyzden.2018;13;0.253274
9.tyzden.2018;10;0.250178
10.tyzden.2018;15;0.253988
11.tyzden.2018;16;0.259107
12.tyzden.2018;9;0.254405
13.tyzden.2018;16;0.250357
14.tyzden.2018;22;0.254464
15.tyzden.2018;14;0.259702
16.tyzden.2018;30;0.257441
17.tyzden.2018;12;0.250179
18.tyzden.2018;13;0.257262
19.tyzden.2018;9;0.251726
20.tyzden.2018;19;0.260238
21.tyzden.2018;18;0.250952
22.tyzden.2018;22;0.253810
23.tyzden.2018;27;0.265238
24.tyzden.2018;14;0.274643
25.tyzden.2018;18;0.382440
26.tyzden.2018;18;0.251607
27.tyzden.2018;19;0.267798
28.tyzden.2018;18;0.269941
29.tyzden.2018;26;0.264167
30.tyzden.2018;28;0.265952
31.tyzden.2018;31;0.271488
32.tyzden.2018;23;0.264762
33.tyzden.2018;17;0.264643
34.tyzden.2018;37;0.262500
35.tyzden.2018;15;0.270357
36.tyzden.2018;13;0.267738
37.tyzden.2018;14;0.265298
38.tyzden.2018;17;0.266429
39.tyzden.2018;14;0.268512
40.tyzden.2018;35;0.275655
41.tyzden.2018;19;0.268333
42.tyzden.2018;19;0.264703
43.tyzden.2018;13;0.272738
44.tyzden.2018;21;0.278571
45.tyzden.2018;23;0.262321
46.tyzden.2018;22;0.263631
47.tyzden.2018;23;0.274643
48.tyzden.2018;17;0.279464
49.tyzden.2018;23;0.266786
50.tyzden.2018;22;0.263631
51.tyzden.2018;20;0.275238
52.tyzden.2018;6;0.280655
