Week;Nehodovost;Solar
1.tyzden.2017;216;70.137500
2.tyzden.2017;252;72.242857
3.tyzden.2017;210;79.000000
4.tyzden.2017;188;78.957143
5.tyzden.2017;242;73.000000
6.tyzden.2017;218;71.914286
7.tyzden.2017;240;73.571429
8.tyzden.2017;203;79.871429
9.tyzden.2017;228;77.142857
10.tyzden.2017;185;70.014286
11.tyzden.2017;217;69.585714
12.tyzden.2017;223;72.642857
13.tyzden.2017;279;91.128571
14.tyzden.2017;226;83.485714
15.tyzden.2017;257;73.757143
16.tyzden.2017;208;82.314286
17.tyzden.2017;244;79.885714
18.tyzden.2017;267;75.471429
19.tyzden.2017;258;71.057143
20.tyzden.2017;276;73.742857
21.tyzden.2017;305;79.957143
22.tyzden.2017;294;78.314286
23.tyzden.2017;266;77.571429
24.tyzden.2017;263;77.328571
25.tyzden.2017;274;76.300000
26.tyzden.2017;343;74.585714
27.tyzden.2017;272;81.142857
28.tyzden.2017;295;94.528571
29.tyzden.2017;287;76.200000
30.tyzden.2017;272;71.557143
31.tyzden.2017;307;76.028571
32.tyzden.2017;268;72.585714
33.tyzden.2017;270;81.085714
34.tyzden.2017;257;84.342857
35.tyzden.2017;261;95.757143
36.tyzden.2017;236;128.871429
37.tyzden.2017;316;75.400000
38.tyzden.2017;273;77.071429
39.tyzden.2017;270;89.928571
40.tyzden.2017;265;83.442857
41.tyzden.2017;261;69.985714
42.tyzden.2017;291;73.285714
43.tyzden.2017;311;75.985714
44.tyzden.2017;218;72.200000
45.tyzden.2017;279;66.742857
46.tyzden.2017;271;72.757143
47.tyzden.2017;322;71.928571
48.tyzden.2017;303;69.557143
49.tyzden.2017;339;67.314286
50.tyzden.2017;297;69.471429
51.tyzden.2017;311;71.657143
52.tyzden.2017;211;69.371429
