Week;Nehodovost;Solar
1.tyzden.2011;352;85.544444
2.tyzden.2011;343;78.128571
3.tyzden.2011;369;80.971429
4.tyzden.2011;367;78.700000
5.tyzden.2011;241;78.300000
6.tyzden.2011;291;89.842857
7.tyzden.2011;200;110.071429
8.tyzden.2011;189;88.785714
9.tyzden.2011;253;118.600000
10.tyzden.2011;219;134.142857
11.tyzden.2011;272;95.057143
12.tyzden.2011;249;107.314286
13.tyzden.2011;274;113.500000
14.tyzden.2011;232;110.171429
15.tyzden.2011;249;117.200000
16.tyzden.2011;298;115.842857
17.tyzden.2011;238;110.785714
18.tyzden.2011;267;106.800000
19.tyzden.2011;317;97.042857
20.tyzden.2011;300;89.285714
21.tyzden.2011;307;92.385714
22.tyzden.2011;291;111.957143
23.tyzden.2011;311;92.785714
24.tyzden.2011;289;102.242857
25.tyzden.2011;316;97.500000
26.tyzden.2011;311;90.385714
27.tyzden.2011;260;88.914286
28.tyzden.2011;292;97.642857
29.tyzden.2011;300;98.114286
30.tyzden.2011;262;107.571429
31.tyzden.2011;237;118.742857
32.tyzden.2011;283;92.157143
33.tyzden.2011;322;99.300000
34.tyzden.2011;305;106.500000
35.tyzden.2011;243;113.000000
36.tyzden.2011;289;116.314286
37.tyzden.2011;322;140.785714
38.tyzden.2011;255;157.942857
39.tyzden.2011;333;138.057143
40.tyzden.2011;333;124.414286
41.tyzden.2011;303;135.500000
42.tyzden.2011;330;154.842857
43.tyzden.2011;299;131.442857
44.tyzden.2011;251;155.042857
45.tyzden.2011;239;170.900000
46.tyzden.2011;276;142.914286
47.tyzden.2011;225;134.228571
48.tyzden.2011;296;147.171429
49.tyzden.2011;307;141.471429
50.tyzden.2011;340;123.000000
51.tyzden.2011;347;135.642857
52.tyzden.2011;194;137.283333
