"Year";"Correlation";"parameter"
2016;-0.257588229024296;"Proton flux over 10 MeV"
2016;-0.243592385360571;"Lyman alpha solar index"
2016;-0.210841752429939;"Solar wind density"
2016;-0.151177308933779;"Solar index_F10.7"
2016;0.143288089168976;"Proton flux over 60 MeV"
2016;-0.116577431206529;"Ap index"
2016;0.113920620754523;"Dst index"
2016;-0.0981023283422107;"Kp index"
2016;-0.0961715007013095;"Polar cap south (Vostok)"
2016;-0.0921701649084511;"Proton flux over 30 MeV"
2016;-0.0753057049467145;"R sunspot number"
2016;0.0245949533106341;"Solar wind speed"
2016;-0.02040101501768;"Solar wind temperature"
2016;0.0147430429565728;"Polar cap north (Thule)"
