"Year";"Correlation";"parameter"
2011;0.277839606124628;"Lyman alpha solar index"
2011;0.245260146023274;"R sunspot number"
2011;0.239721261831129;"Solar index_F10.7"
2011;-0.155332607816046;"Solar wind density"
2011;-0.14969387929402;"Proton flux over 10 MeV"
2011;-0.0893973079001001;"Proton flux over 30 MeV"
2011;-0.0885963911854003;"Kp index"
2011;-0.0789981087496113;"Ap index"
2011;-0.0686125742995025;"AU index"
2011;-0.0678366565101919;"AE index"
2011;0.0652461538219249;"AL index"
2011;-0.0605353873832909;"Proton flux over 60 MeV"
2011;0.0509210917778159;"Solar wind speed"
2011;-0.00391601436939321;"Dst index"
2011;-0.00291322132302067;"Solar wind temperature"
