"Year";"Correlation";"parameter"
2014;-0.178529059536924;"Lyman alpha solar index"
2014;0.133699992521756;"Proton flux over 30 MeV"
2014;-0.129466199817652;"Solar index_F10.7"
2014;0.129285562096388;"Proton flux over 60 MeV"
2014;0.119900701903178;"Proton flux over 10 MeV"
2014;0.119245728700817;"Dst index"
2014;-0.103846593720832;"R sunspot number"
2014;0.0772454588746311;"AL index"
2014;0.0591269677257376;"Solar wind temperature"
2014;-0.058331943966158;"AE index"
2014;0.0286136082064942;"Solar wind speed"
2014;0.0271586016399327;"Solar wind density"
2014;-0.0210936213261635;"Kp index"
2014;0.0175162333776564;"Ap index"
2014;-0.0125799403596723;"AU index"
