Week;Nehodovost;
1.tyzden.2013;185;
2.tyzden.2013;254;
3.tyzden.2013;259;
4.tyzden.2013;231;
5.tyzden.2013;271;
6.tyzden.2013;276;
7.tyzden.2013;242;
8.tyzden.2013;226;
9.tyzden.2013;210;
10.tyzden.2013;202;
11.tyzden.2013;263;
12.tyzden.2013;230;
13.tyzden.2013;272;
14.tyzden.2013;160;
15.tyzden.2013;232;
16.tyzden.2013;252;
17.tyzden.2013;253;
18.tyzden.2013;230;
19.tyzden.2013;249;
20.tyzden.2013;243;
21.tyzden.2013;240;
22.tyzden.2013;238;
23.tyzden.2013;241;
24.tyzden.2013;298;
25.tyzden.2013;325;
26.tyzden.2013;242;
27.tyzden.2013;275;
28.tyzden.2013;252;
29.tyzden.2013;274;
30.tyzden.2013;270;
31.tyzden.2013;249;
32.tyzden.2013;296;
33.tyzden.2013;261;
34.tyzden.2013;256;
35.tyzden.2013;249;
36.tyzden.2013;278;
37.tyzden.2013;262;
38.tyzden.2013;281;
39.tyzden.2013;264;
40.tyzden.2013;242;
41.tyzden.2013;269;
42.tyzden.2013;278;
43.tyzden.2013;277;
44.tyzden.2013;236;
45.tyzden.2013;276;
46.tyzden.2013;268;
47.tyzden.2013;308;
48.tyzden.2013;258;
49.tyzden.2013;311;
50.tyzden.2013;247;
51.tyzden.2013;303;
52.tyzden.2013;280;
