Week;Nehodovost;Proton60
1.tyzden.2018;178;0.107917
2.tyzden.2018;211;0.110417
3.tyzden.2018;312;0.117679
4.tyzden.2018;220;0.113809
5.tyzden.2018;229;0.110655
6.tyzden.2018;198;0.113036
7.tyzden.2018;234;0.118750
8.tyzden.2018;198;0.114822
9.tyzden.2018;228;0.112857
10.tyzden.2018;235;0.114167
11.tyzden.2018;229;0.118036
12.tyzden.2018;200;0.115952
13.tyzden.2018;228;0.112381
14.tyzden.2018;231;0.115952
15.tyzden.2018;267;0.117381
16.tyzden.2018;268;0.117560
17.tyzden.2018;273;0.112976
18.tyzden.2018;257;0.116548
19.tyzden.2018;248;0.113036
20.tyzden.2018;269;0.117679
21.tyzden.2018;263;0.112679
22.tyzden.2018;281;0.116131
23.tyzden.2018;276;0.122678
24.tyzden.2018;256;0.127024
25.tyzden.2018;287;0.113274
26.tyzden.2018;263;0.114702
27.tyzden.2018;306;0.123036
28.tyzden.2018;262;0.125000
29.tyzden.2018;283;0.121071
30.tyzden.2018;277;0.121845
31.tyzden.2018;289;0.125774
32.tyzden.2018;291;0.122202
33.tyzden.2018;261;0.123214
34.tyzden.2018;299;0.119702
35.tyzden.2018;253;0.125893
36.tyzden.2018;275;0.125536
37.tyzden.2018;301;0.122500
38.tyzden.2018;291;0.122798
39.tyzden.2018;271;0.123810
40.tyzden.2018;261;0.128095
41.tyzden.2018;298;0.122559
42.tyzden.2018;298;0.122083
43.tyzden.2018;288;0.126250
44.tyzden.2018;250;0.129762
45.tyzden.2018;254;0.121369
46.tyzden.2018;244;0.120357
47.tyzden.2018;286;0.127083
48.tyzden.2018;285;0.130357
49.tyzden.2018;282;0.122917
50.tyzden.2018;329;0.123214
51.tyzden.2018;344;0.127917
52.tyzden.2018;168;0.130714
