Week;Nehodovost;Proton60
1.tyzden.2017;216;0.068177
2.tyzden.2017;252;0.072024
3.tyzden.2017;210;0.068929
4.tyzden.2017;188;0.070714
5.tyzden.2017;242;0.069048
6.tyzden.2017;218;0.072083
7.tyzden.2017;240;0.069643
8.tyzden.2017;203;0.069821
9.tyzden.2017;228;0.069643
10.tyzden.2017;185;0.073452
11.tyzden.2017;217;0.071726
12.tyzden.2017;223;0.070655
13.tyzden.2017;279;0.068452
14.tyzden.2017;226;0.068631
15.tyzden.2017;257;0.075298
16.tyzden.2017;208;0.069047
17.tyzden.2017;244;0.068750
18.tyzden.2017;267;0.069762
19.tyzden.2017;258;0.073512
20.tyzden.2017;276;0.071905
21.tyzden.2017;305;0.069702
22.tyzden.2017;294;0.071429
23.tyzden.2017;266;0.073036
24.tyzden.2017;263;0.075357
25.tyzden.2017;274;0.072441
26.tyzden.2017;343;0.070060
27.tyzden.2017;272;0.071786
28.tyzden.2017;295;0.080178
29.tyzden.2017;287;0.076250
30.tyzden.2017;272;0.067500
31.tyzden.2017;307;0.066309
32.tyzden.2017;268;0.070476
33.tyzden.2017;270;0.067441
34.tyzden.2017;257;0.066845
35.tyzden.2017;261;0.069583
36.tyzden.2017;236;4.305774
37.tyzden.2017;316;13.853274
38.tyzden.2017;273;0.064524
39.tyzden.2017;270;0.063214
40.tyzden.2017;265;0.067500
41.tyzden.2017;261;0.066488
42.tyzden.2017;291;0.068750
43.tyzden.2017;311;0.067083
44.tyzden.2017;218;0.070119
45.tyzden.2017;279;0.068809
46.tyzden.2017;271;0.071488
47.tyzden.2017;322;0.073869
48.tyzden.2017;303;0.089702
49.tyzden.2017;339;0.101845
50.tyzden.2017;297;0.106548
51.tyzden.2017;311;0.111369
52.tyzden.2017;211;0.106429
