Week;Zraneni;Lyman
1.tyzden.2015;6;4.607500
2.tyzden.2015;6;4.900000
3.tyzden.2015;22;5.015714
4.tyzden.2015;9;4.524286
5.tyzden.2015;24;4.771429
6.tyzden.2015;12;5.134286
7.tyzden.2015;4;5.024286
8.tyzden.2015;6;4.542857
9.tyzden.2015;6;4.671429
tyzden.2015;8;4.860000
11.tyzden.2015;10;4.730000
12.tyzden.2015;14;4.384286
13.tyzden.2015;12;4.927143
tyzden.2015;14;4.884286
15.tyzden.2015;15;4.720000
16.tyzden.2015;9;4.684286
tyzden.2015;11;5.040000
18.tyzden.2015;15;4.601429
19.tyzden.2015;17;4.677143
20.tyzden.2015;21;4.922857
21.tyzden.2015;19;4.688571
22.tyzden.2015;18;4.317143
23.tyzden.2015;33;4.567143
24.tyzden.2015;22;4.864286
25.tyzden.2015;11;4.620000
26.tyzden.2015;9;4.215714
27.tyzden.2015;18;4.517143
28.tyzden.2015;23;4.820000
29.tyzden.2015;15;4.517143
30.tyzden.2015;20;4.164286
31.tyzden.2015;21;4.451429
32.tyzden.2015;22;4.557143
33.tyzden.2015;14;4.318571
34.tyzden.2015;20;4.170000
35.tyzden.2015;16;4.331429
36.tyzden.2015;22;4.298571
37.tyzden.2015;21;4.140000
38.tyzden.2015;24;4.238571
39.tyzden.2015;18;4.442857
40.tyzden.2015;14;4.274286
41.tyzden.2015;14;3.928571
42.tyzden.2015;19;4.221429
43.tyzden.2015;14;4.627143
44.tyzden.2015;18;4.228571
45.tyzden.2015;18;4.141429
46.tyzden.2015;16;4.411429
47.tyzden.2015;19;4.567143
48.tyzden.2015;19;4.301429
49.tyzden.2015;15;4.122857
50.tyzden.2015;17;4.388571
51.tyzden.2015;21;4.502857
52.tyzden.2015;22;4.319091
