Date;PCS;
1.1.-7.1.2018;0.574020;
8.1.-14.1.2018;0.776438;
15.1.-21.1.2018;0.742269;
22.1.-28.1.2018;1.163174;
29.1.-4.2.2018;0.550526;
5.2.-11.2.2018;0.445374;
12.2.-18.2.2018;0.801264;
19.2.-25.2.2018;1.132592;
26.2.-4.3.2018;1.083913;
5.3.-11.3.2018;0.586205;
12.3.-18.3.2018;1.412608;
19.3.-25.3.2018;1.301803;
26.3.-1.4.2018;0.547034;
2.4.-8.4.2018;0.263779;
9.4.-15.4.2018;1.254830;
16.4.-22.4.2018;0.880679;
23.4.-29.4.2018;0.250792;
30.4.-6.5.2018;0.514720;
7.5.-13.5.2018;1.683666;
14.5.-20.5.2018;0.570099;
21.5.-27.5.2018;0.227012;
28.5.-3.6.2018;0.907337;
4.6.-10.6.2018;0.454615;
11.6.-17.6.2018;0.180934;
18.6.-24.6.2018;0.650197;
25.6.-1.7.2018;0.798683;
2.7.-8.7.2018;0.299439;
9.7.-15.7.2018;0.411755;
16.7.-22.7.2018;0.573409;
23.7.-29.7.2018;0.610840;
30.7.-5.8.2018;0.242573;
6.8.-12.8.2018;0.364521;
13.8.-19.8.2018;0.950329;
20.8.-26.8.2018;1.414171;
27.8.-2.9.2018;0.754578;
3.9.-9.9.2018;0.590726;
10.9.-16.9.2018;1.335572;
17.9.-23.9.2018;1.002989;
24.9.-30.9.2018;0.781213;
1.10.-7.10.2018;0.794804;
8.10.-14.10.2018;1.416720;
15.10.-21.10.2018;0.457225;
22.10.-28.10.2018;0.483551;
29.10.-4.11.2018;0.573832;
5.11.-11.11.2018;1.301400;
12.11.-18.11.2018;0.445621;
19.11.-25.11.2018;0.579312;
26.11.-2.12.2018;0.755245;
3.12.-9.12.2018;1.078388;
10.12.-16.12.2018;0.602411;
17.12.-23.12.2018;0.720725;
24.12.-30.12.2018;0.940666;
