Date;PCS;
1.1.-9.1.2010;0.345623;
10.1.-16.1.2010;0.653642;
17.1.-23.1.2010;0.513586;
24.1.-30.1.2010;0.372829;
31.1.-6.2.2010;0.756335;
7.2.-13.2.2010;0.756423;
14.2.-20.2.2010;0.851776;
21.2.-27.2.2010;0.355955;
28.2.-6.3.2010;0.588011;
7.3.-13.3.2010;0.959301;
14.3.-20.3.2010;0.580667;
21.3.-27.3.2010;0.256074;
28.3.-3.4.2010;1.014054;
4.4.-10.4.2010;2.108140;
11.4.-17.4.2010;0.666611;
18.4.-24.4.2010;0.564615;
25.4.-1.5.2010;0.240193;
2.5.-8.5.2010;1.631623;
9.5.-15.5.2010;0.312505;
16.5.-22.5.2010;0.634442;
23.5.-29.5.2010;0.786728;
30.5.-5.6.2010;1.628419;
6.6.-12.6.2010;0.397335;
13.6.-19.6.2010;0.691607;
20.6.-26.6.2010;0.434678;
27.6.-3.7.2010;1.397071;
4.7.-10.7.2010;0.359994;
11.7.-17.7.2010;0.352515;
18.7.-24.7.2010;0.239706;
25.7.-31.7.2010;1.001735;
1.8.-7.8.2010;1.324910;
8.8.-14.8.2010;0.607947;
15.8.-21.8.2010;0.539195;
22.8.-28.8.2010;1.083451;
29.8.-4.9.2010;0.372468;
5.9.-11.9.2010;0.702574;
12.9.-18.9.2010;0.584159;
19.9.-25.9.2010;0.679874;
26.9.-2.10.2010;0.595295;
3.10.-9.10.2010;0.692046;
10.10.-16.10.2010;0.927250;
17.10.-23.10.2010;1.055791;
24.10.-30.10.2010;0.715769;
31.10.-6.11.2010;0.421197;
7.11.-13.11.2010;0.955438;
14.11.-20.11.2010;0.736795;
21.11.-27.11.2010;0.705244;
28.11.-4.12.2010;0.454405;
5.12.-11.12.2010;0.552181;
12.12.-18.12.2010;1.016966;
19.12.-25.12.2010;0.740371;
26.12.-31.12.2010;0.728579;
