Date;PCS;
1.1.-6.1.2013;0.385299;
7.1.-13.1.2013;0.814084;
14.1.-20.1.2013;1.410414;
21.1.-27.1.2013;0.901312;
28.1.-3.2.2013;0.794561;
4.2.-10.2.2013;0.580346;
11.2.-17.2.2013;1.130807;
18.2.-24.2.2013;0.950532;
25.2.-3.3.2013;1.120227;
4.3.-10.3.2013;0.462632;
11.3.-17.3.2013;1.158805;
18.3.-24.3.2013;0.750231;
25.3.-31.3.2013;1.115310;
1.4.-7.4.2013;0.608036;
8.4.-14.4.2013;0.312533;
15.4.-21.4.2013;0.180282;
22.4.-28.4.2013;1.186419;
29.4.-5.5.2013;1.226275;
6.5.-12.5.2013;0.447342;
13.5.-19.5.2013;1.301918;
20.5.-26.5.2013;1.978398;
27.5.-2.6.2013;1.224289;
3.6.-9.6.2013;1.203598;
10.6.-16.6.2013;0.360180;
17.6.-23.6.2013;1.257725;
24.6.-30.6.2013;1.711263;
1.7.-7.7.2013;0.830167;
8.7.-14.7.2013;1.727253;
15.7.-21.7.2013;0.855197;
22.7.-28.7.2013;0.670226;
29.7.-4.8.2013;0.386115;
5.8.-11.8.2013;0.266406;
12.8.-18.8.2013;0.680308;
19.8.-25.8.2013;0.697691;
26.8.-1.9.2013;0.611433;
2.9.-8.9.2013;0.099024;
9.9.-15.9.2013;0.111875;
16.9.-22.9.2013;0.561270;
23.9.-29.9.2013;0.032121;
30.9.-6.10.2013;0.640576;
7.10.-13.10.2013;0.827474;
14.10.-20.10.2013;0.957728;
21.10.-27.10.2013;0.311496;
28.10.-3.11.2013;0.968014;
4.11.-10.11.2013;1.412303;
11.11.-17.11.2013;1.365925;
18.11.-24.11.2013;0.525729;
25.11.-1.12.2013;0.534737;
2.12.-8.12.2013;1.248934;
9.12.-15.12.2013;0.989577;
16.12.-22.12.2013;0.848247;
23.12.-31.12.2013;0.661343;
