Date;PCS;
1.1.-9.1.2011;0.938307;
10.1.-16.1.2011;1.027906;
17.1.-23.1.2011;0.539639;
24.1.-30.1.2011;0.695158;
31.1.-6.2.2011;1.224179;
7.2.-13.2.2011;0.687050;
14.2.-20.2.2011;0.839594;
21.2.-27.2.2011;0.576049;
28.2.-6.3.2011;1.412247;
7.3.-13.3.2011;1.987116;
14.3.-20.3.2011;0.148649;
21.3.-27.3.2011;0.493049;
28.3.-3.4.2011;0.943509;
4.4.-10.4.2011;1.275754;
11.4.-17.4.2011;0.646375;
18.4.-24.4.2011;0.430949;
25.4.-1.5.2011;0.938224;
2.5.-8.5.2011;1.078139;
9.5.-15.5.2011;0.467321;
16.5.-22.5.2011;0.465107;
23.5.-29.5.2011;1.353705;
30.5.-5.6.2011;1.050379;
6.6.-12.6.2011;1.461660;
13.6.-19.6.2011;0.670268;
20.6.-26.6.2011;1.053374;
27.6.-3.7.2011;0.841404;
4.7.-10.7.2011;1.541267;
11.7.-17.7.2011;0.763118;
18.7.-24.7.2011;1.362039;
25.7.-31.7.2011;0.839302;
1.8.-7.8.2011;1.288052;
8.8.-14.8.2011;0.909993;
15.8.-21.8.2011;0.472800;
22.8.-28.8.2011;0.542048;
29.8.-4.9.2011;0.707818;
5.9.-11.9.2011;1.351763;
12.9.-18.9.2011;1.516239;
19.9.-25.9.2011;0.660729;
26.9.-2.10.2011;1.789682;
3.10.-9.10.2011;1.292616;
10.10.-16.10.2011;0.687512;
17.10.-23.10.2011;0.755283;
24.10.-30.10.2011;0.890094;
31.10.-6.11.2011;1.562446;
7.11.-13.11.2011;0.737479;
14.11.-20.11.2011;0.775581;
21.11.-27.11.2011;1.467461;
28.11.-4.12.2011;1.818205;
5.12.-11.12.2011;1.240485;
12.12.-18.12.2011;1.001432;
19.12.-25.12.2011;1.312046;
26.12.-31.12.2011;0.809327;
