Date;PCS;
1.1.-5.1.2014;1.266011;
6.1.-12.1.2014;1.152899;
13.1.-19.1.2014;0.648180;
20.1.-26.1.2014;0.875685;
27.1.-2.2.2014;0.643624;
3.2.-9.2.2014;1.330576;
10.2.-16.2.2014;1.030791;
17.2.-23.2.2014;2.069991;
24.2.-2.3.2014;0.895377;
3.3.-9.3.2014;0.601164;
10.3.-16.3.2014;0.650448;
17.3.-23.3.2014;0.620277;
24.3.-30.3.2014;0.513707;
31.3.-6.4.2014;0.423488;
7.4.-13.4.2014;1.092179;
14.4.-20.4.2014;0.694256;
21.4.-27.4.2014;0.838040;
28.4.-4.5.2014;0.756082;
5.5.-11.5.2014;0.881204;
12.5.-18.5.2014;0.255953;
19.5.-25.5.2014;0.482858;
26.5.-1.6.2014;0.208082;
2.6.-8.6.2014;0.621528;
9.6.-15.6.2014;0.257553;
16.6.-22.6.2014;0.714620;
23.6.-29.6.2014;0.230595;
30.6.-6.7.2014;0.149513;
7.7.-13.7.2014;0.613200;
14.7.-20.7.2014;0.164291;
21.7.-27.7.2014;0.334582;
28.7.-3.8.2014;0.533972;
4.8.-10.8.2014;0.823913;
11.8.-17.8.2014;0.365928;
18.8.-24.8.2014;0.570868;
25.8.-31.8.2014;1.339215;
1.9.-7.9.2014;1.025185;
8.9.-14.9.2014;0.865104;
15.9.-21.9.2014;0.545363;
22.9.-28.9.2014;1.595971;
29.9.-5.10.2014;0.987271;
6.10.-12.10.2014;0.866901;
13.10.-19.10.2014;0.944353;
20.10.-26.10.2014;1.463059;
27.10.-2.11.2014;0.658887;
3.11.-9.11.2014;0.390201;
10.11.-16.11.2014;1.078494;
17.11.-23.11.2014;1.076853;
24.11.-30.11.2014;0.399236;
1.12.-7.12.2014;1.031298;
8.12.-14.12.2014;1.367136;
15.12.-21.12.2014;1.404626;
22.12.-31.12.2014;1.314890;
