Date;PCS;
1.1.-4.1.2015;1.215318;
5.1.-11.1.2015;1.422316;
12.1.-18.1.2015;0.752974;
19.1.-25.1.2015;0.822043;
26.1.-1.2.2015;1.453678;
2.2.-8.2.2015;1.473972;
9.2.-15.2.2015;0.281296;
16.2.-22.2.2015;1.286091;
23.2.-1.3.2015;1.221971;
2.3.-8.3.2015;1.286582;
9.3.-15.3.2015;0.433692;
16.3.-22.3.2015;2.322486;
23.3.-29.3.2015;1.034782;
30.3.-5.4.2015;0.452269;
6.4.-12.4.2015;0.754572;
13.4.-19.4.2015;1.537400;
20.4.-26.4.2015;0.393746;
27.4.-3.5.2015;0.465052;
4.5.-10.5.2015;0.630044;
11.5.-17.5.2015;1.473986;
18.5.-24.5.2015;0.261472;
25.5.-31.5.2015;0.249637;
1.6.-7.6.2015;0.006312;
8.6.-14.6.2015;1.280528;
15.6.-21.6.2015;0.681449;
22.6.-28.6.2015;1.939063;
29.6.-5.7.2015;0.456228;
6.7.-12.7.2015;0.720705;
13.7.-19.7.2015;0.711247;
20.7.-26.7.2015;0.598838;
27.7.-2.8.2015;0.787586;
3.8.-9.8.2015;0.904320;
10.8.-16.8.2015;1.309493;
17.8.-23.8.2015;1.351318;
24.8.-30.8.2015;2.071070;
31.8.-6.9.2015;0.926151;
7.9.-13.9.2015;2.339871;
14.9.-20.9.2015;1.456604;
21.9.-27.9.2015;0.537310;
28.9.-4.10.2015;1.351160;
5.10.-11.10.2015;2.576864;
12.10.-18.10.2015;1.956098;
19.10.-25.10.2015;0.826830;
26.10.-1.11.2015;0.702664;
2.11.-8.11.2015;2.197671;
9.11.-15.11.2015;2.061126;
16.11.-22.11.2015;1.101806;
23.11.-29.11.2015;0.429168;
30.11.-6.12.2015;1.462301;
7.12.-13.12.2015;1.780735;
14.12.-20.12.2015;1.876256;
21.12.-31.12.2015;1.473451;
