Date;PCS;
1.1.-10.1.2016;0.946142;
11.1.-17.1.2016;1.235604;
18.1.-24.1.2016;1.722241;
25.1.-31.1.2016;0.476225;
1.2.-7.2.2016;1.128100;
8.2.-14.2.2016;1.406934;
15.2.-21.2.2016;2.095928;
22.2.-28.2.2016;0.641416;
29.2.-6.3.2016;0.660745;
7.3.-13.3.2016;1.287964;
14.3.-20.3.2016;1.965418;
21.3.-27.3.2016;0.415401;
28.3.-3.4.2016;0.872374;
4.4.-10.4.2016;0.681389;
11.4.-17.4.2016;1.822703;
18.4.-24.4.2016;0.262757;
25.4.-1.5.2016;0.561527;
2.5.-8.5.2016;1.843597;
9.5.-15.5.2016;1.378790;
16.5.-22.5.2016;0.775900;
23.5.-29.5.2016;0.570502;
30.5.-5.6.2016;0.770590;
6.6.-12.6.2016;0.804883;
13.6.-19.6.2016;0.592369;
20.6.-26.6.2016;0.631719;
27.6.-3.7.2016;0.498140;
4.7.-10.7.2016;1.013790;
11.7.-17.7.2016;0.985794;
18.7.-24.7.2016;0.598367;
25.7.-31.7.2016;0.945334;
1.8.-7.8.2016;1.098641;
8.8.-14.8.2016;0.980773;
15.8.-21.8.2016;0.524430;
22.8.-28.8.2016;0.922570;
29.8.-4.9.2016;1.951287;
5.9.-11.9.2016;1.283334;
12.9.-18.9.2016;0.796853;
19.9.-25.9.2016;0.781471;
26.9.-2.10.2016;2.412342;
3.10.-9.10.2016;1.147556;
10.10.-16.10.2016;1.325385;
17.10.-23.10.2016;0.766340;
24.10.-30.10.2016;2.646390;
31.10.-6.11.2016;1.178570;
7.11.-13.11.2016;1.135393;
14.11.-20.11.2016;0.664833;
21.11.-27.11.2016;1.678867;
28.11.-4.12.2016;0.470431;
5.12.-11.12.2016;1.519543;
12.12.-18.12.2016;0.423658;
19.12.-25.12.2016;1.725737;
26.12.-31.12.2016;1.066383;
