Date;PCS;
1.1.-8.1.2012;0.676922;
9.1.-15.1.2012;0.563231;
16.1.-22.1.2012;1.248816;
23.1.-29.1.2012;1.565687;
30.1.-5.2.2012;0.843139;
6.2.-12.2.2012;0.873436;
13.2.-19.2.2012;1.089392;
20.2.-26.2.2012;0.774330;
27.2.-4.3.2012;1.343699;
5.3.-11.3.2012;2.667031;
12.3.-18.3.2012;2.494971;
19.3.-25.3.2012;0.724415;
26.3.-1.4.2012;0.887215;
2.4.-8.4.2012;0.975934;
9.4.-15.4.2012;0.877162;
16.4.-22.4.2012;0.892163;
23.4.-29.4.2012;1.627989;
30.4.-6.5.2012;0.458959;
7.5.-13.5.2012;1.374304;
14.5.-20.5.2012;0.763752;
21.5.-27.5.2012;0.967852;
28.5.-3.6.2012;0.577644;
4.6.-10.6.2012;1.222082;
11.6.-17.6.2012;1.031314;
18.6.-24.6.2012;0.513426;
25.6.-1.7.2012;1.007131;
2.7.-8.7.2012;0.969774;
9.7.-15.7.2012;2.298536;
16.7.-22.7.2012;1.670907;
23.7.-29.7.2012;0.566440;
30.7.-5.8.2012;0.864828;
6.8.-12.8.2012;0.777637;
13.8.-19.8.2012;1.117626;
20.8.-26.8.2012;1.083585;
27.8.-2.9.2012;0.838399;
3.9.-9.9.2012;1.970583;
10.9.-16.9.2012;0.523915;
17.9.-23.9.2012;0.825413;
24.9.-30.9.2012;0.488027;
1.10.-7.10.2012;0.735003;
8.10.-14.10.2012;2.446403;
15.10.-21.10.2012;0.601439;
22.10.-28.10.2012;0.711869;
29.10.-4.11.2012;0.762140;
5.11.-11.11.2012;0.517133;
12.11.-18.11.2012;1.576040;
19.11.-25.11.2012;1.480276;
26.11.-2.12.2012;0.483799;
3.12.-9.12.2012;0.341561;
10.12.-16.12.2012;0.779258;
17.12.-23.12.2012;0.820165;
24.12.-31.12.2012;0.477651;
