Date;Proton30;
1.1.-6.1.2013;0.076528;
7.1.-13.1.2013;0.075952;
14.1.-20.1.2013;0.080357;
21.1.-27.1.2013;0.077440;
28.1.-3.2.2013;0.076072;
4.2.-10.2.2013;0.078095;
11.2.-17.2.2013;0.077321;
18.2.-24.2.2013;0.078214;
25.2.-3.3.2013;0.083274;
4.3.-10.3.2013;0.090178;
11.3.-17.3.2013;0.119286;
18.3.-24.3.2013;0.073095;
25.3.-31.3.2013;0.075714;
1.4.-7.4.2013;0.077798;
8.4.-14.4.2013;1.810357;
15.4.-21.4.2013;0.093214;
22.4.-28.4.2013;0.110357;
29.4.-5.5.2013;0.076131;
6.5.-12.5.2013;0.073095;
13.5.-19.5.2013;0.346667;
20.5.-26.5.2013;2.042024;
27.5.-2.6.2013;0.167321;
3.6.-9.6.2013;0.077321;
10.6.-16.6.2013;0.069524;
17.6.-23.6.2013;0.121131;
24.6.-30.6.2013;0.089286;
1.7.-7.7.2013;0.070000;
8.7.-14.7.2013;0.067440;
15.7.-21.7.2013;0.071905;
22.7.-28.7.2013;0.071786;
29.7.-4.8.2013;0.069583;
5.8.-11.8.2013;0.068512;
12.8.-18.8.2013;0.071964;
19.8.-25.8.2013;0.085000;
26.8.-1.9.2013;0.068274;
2.9.-8.9.2013;0.066488;
9.9.-15.9.2013;0.068869;
16.9.-22.9.2013;0.068095;
23.9.-29.9.2013;0.069464;
30.9.-6.10.2013;0.928988;
7.10.-13.10.2013;0.078810;
14.10.-20.10.2013;0.076905;
21.10.-27.10.2013;0.084464;
28.10.-3.11.2013;0.328988;
4.11.-10.11.2013;0.110536;
11.11.-17.11.2013;0.075536;
18.11.-24.11.2013;0.094821;
25.11.-1.12.2013;0.068810;
2.12.-8.12.2013;0.067500;
9.12.-15.12.2013;0.072321;
16.12.-22.12.2013;0.067678;
23.12.-31.12.2013;0.217685;
