Date;Proton30;
1.1.-9.1.2011;0.101019;
10.1.-16.1.2011;0.100298;
17.1.-23.1.2011;0.102738;
24.1.-30.1.2011;0.128452;
31.1.-6.2.2011;0.101131;
7.2.-13.2.2011;0.103691;
14.2.-20.2.2011;0.111191;
21.2.-27.2.2011;0.094881;
28.2.-6.3.2011;0.088512;
7.3.-13.3.2011;0.477679;
14.3.-20.3.2011;0.090655;
21.3.-27.3.2011;0.303929;
28.3.-3.4.2011;0.085060;
4.4.-10.4.2011;0.085238;
11.4.-17.4.2011;0.085417;
18.4.-24.4.2011;0.085417;
25.4.-1.5.2011;0.084286;
2.5.-8.5.2011;0.084940;
9.5.-15.5.2011;0.087738;
16.5.-22.5.2011;0.086369;
23.5.-29.5.2011;0.085417;
30.5.-5.6.2011;0.104107;
6.6.-12.6.2011;2.418512;
13.6.-19.6.2011;0.121488;
20.6.-26.6.2011;0.079405;
27.6.-3.7.2011;0.083036;
4.7.-10.7.2011;0.082857;
11.7.-17.7.2011;0.082024;
18.7.-24.7.2011;0.082560;
25.7.-31.7.2011;0.083452;
1.8.-7.8.2011;1.423155;
8.8.-14.8.2011;0.466845;
15.8.-21.8.2011;0.083512;
22.8.-28.8.2011;0.082381;
29.8.-4.9.2011;0.085417;
5.9.-11.9.2011;0.295119;
12.9.-18.9.2011;0.079941;
19.9.-25.9.2011;0.350893;
26.9.-2.10.2011;0.163274;
3.10.-9.10.2011;0.082738;
10.10.-16.10.2011;0.080595;
17.10.-23.10.2011;0.096310;
24.10.-30.10.2011;0.089822;
31.10.-6.11.2011;0.170357;
7.11.-13.11.2011;0.085714;
14.11.-20.11.2011;0.083036;
21.11.-27.11.2011;0.268512;
28.11.-4.12.2011;0.097083;
5.12.-11.12.2011;0.085774;
12.12.-18.12.2011;0.086548;
19.12.-25.12.2011;0.087440;
26.12.-31.12.2011;0.094861;
