Date;Proton30;
1.1.-8.1.2017;0.093594;
9.1.-15.1.2017;0.097738;
16.1.-22.1.2017;0.094524;
23.1.-29.1.2017;0.096667;
30.1.-5.2.2017;0.094643;
6.2.-12.2.2017;0.098214;
13.2.-19.2.2017;0.096369;
20.2.-26.2.2017;0.095834;
27.2.-5.3.2017;0.095655;
6.3.-12.3.2017;0.099702;
13.3.-19.3.2017;0.098571;
20.3.-26.3.2017;0.096071;
27.3.-2.4.2017;0.094940;
3.4.-9.4.2017;0.095595;
10.4.-16.4.2017;0.102619;
17.4.-23.4.2017;0.095060;
24.4.-30.4.2017;0.094762;
1.5.-7.5.2017;0.096250;
8.5.-14.5.2017;0.101131;
15.5.-21.5.2017;0.097679;
22.5.-28.5.2017;0.096190;
29.5.-4.6.2017;0.097559;
5.6.-11.6.2017;0.099643;
12.6.-18.6.2017;0.101309;
19.6.-25.6.2017;0.099464;
26.6.-2.7.2017;0.097202;
3.7.-9.7.2017;0.098631;
10.7.-16.7.2017;0.183155;
17.7.-23.7.2017;0.101607;
24.7.-30.7.2017;0.110833;
31.7.-6.8.2017;0.091369;
7.8.-13.8.2017;0.096488;
14.8.-20.8.2017;0.092917;
21.8.-27.8.2017;0.092679;
28.8.-3.9.2017;0.095595;
4.9.-10.9.2017;12.197381;
11.9.-17.9.2017;55.283155;
18.9.-24.9.2017;0.099881;
25.9.-1.10.2017;0.087619;
2.10.-8.10.2017;0.092857;
9.10.-15.10.2017;0.091964;
16.10.-22.10.2017;0.094821;
23.10.-29.10.2017;0.091845;
30.10.-5.11.2017;0.095595;
6.11.-12.11.2017;0.094643;
13.11.-19.11.2017;0.098452;
20.11.-26.11.2017;0.101429;
27.11.-3.12.2017;0.121072;
4.12.-10.12.2017;0.139524;
11.12.-17.12.2017;0.147203;
18.12.-24.12.2017;0.153988;
25.12.-31.12.2017;0.148274;
