Week;Nehodovost;
1.tyzden.2015;103;
2.tyzden.2015;103;
3.tyzden.2015;259;
4.tyzden.2015;217;
5.tyzden.2015;240;
6.tyzden.2015;205;
7.tyzden.2015;239;
8.tyzden.2015;220;
9.tyzden.2015;181;
tyzden.2015;206;
11.tyzden.2015;225;
12.tyzden.2015;221;
13.tyzden.2015;236;
tyzden.2015;211;
15.tyzden.2015;213;
16.tyzden.2015;240;
tyzden.2015;257;
18.tyzden.2015;230;
19.tyzden.2015;220;
20.tyzden.2015;251;
21.tyzden.2015;256;
22.tyzden.2015;287;
23.tyzden.2015;310;
24.tyzden.2015;282;
25.tyzden.2015;258;
26.tyzden.2015;256;
27.tyzden.2015;273;
28.tyzden.2015;246;
29.tyzden.2015;275;
30.tyzden.2015;284;
31.tyzden.2015;235;
32.tyzden.2015;266;
33.tyzden.2015;269;
34.tyzden.2015;295;
35.tyzden.2015;272;
36.tyzden.2015;276;
37.tyzden.2015;269;
38.tyzden.2015;264;
39.tyzden.2015;285;
40.tyzden.2015;285;
41.tyzden.2015;261;
42.tyzden.2015;296;
43.tyzden.2015;274;
44.tyzden.2015;287;
45.tyzden.2015;279;
46.tyzden.2015;285;
47.tyzden.2015;260;
48.tyzden.2015;283;
49.tyzden.2015;284;
50.tyzden.2015;292;
51.tyzden.2015;302;
52.tyzden.2015;349;
