Date;AL;
1.1.-9.1.2011;-64.296296;
10.1.-16.1.2011;-68.815476;
17.1.-23.1.2011;-52.511905;
24.1.-30.1.2011;-43.000000;
31.1.-6.2.2011;-106.827381;
7.2.-13.2.2011;-43.386905;
14.2.-20.2.2011;-85.357143;
21.2.-27.2.2011;-47.107143;
28.2.-6.3.2011;-153.821429;
7.3.-13.3.2011;-178.797619;
14.3.-20.3.2011;-33.958333;
21.3.-27.3.2011;-47.625000;
28.3.-3.4.2011;-102.142857;
4.4.-10.4.2011;-118.261905;
11.4.-17.4.2011;-85.095238;
18.4.-24.4.2011;-59.970238;
25.4.-1.5.2011;-113.089286;
2.5.-8.5.2011;-123.642857;
9.5.-15.5.2011;-57.363095;
16.5.-22.5.2011;-68.041667;
23.5.-29.5.2011;-159.708333;
30.5.-5.6.2011;-132.845238;
6.6.-12.6.2011;-138.273810;
13.6.-19.6.2011;-69.053572;
20.6.-26.6.2011;-155.011905;
27.6.-3.7.2011;-77.214286;
4.7.-10.7.2011;-142.785714;
11.7.-17.7.2011;-89.821429;
18.7.-24.7.2011;-131.505952;
25.7.-31.7.2011;-76.726190;
1.8.-7.8.2011;-102.869048;
8.8.-14.8.2011;-90.315476;
15.8.-21.8.2011;-63.458333;
22.8.-28.8.2011;-69.886905;
29.8.-4.9.2011;-70.791667;
5.9.-11.9.2011;-129.053571;
12.9.-18.9.2011;-136.666667;
19.9.-25.9.2011;-41.410714;
26.9.-2.10.2011;-183.773809;
3.10.-9.10.2011;-109.178572;
10.10.-16.10.2011;-38.303571;
17.10.-23.10.2011;-33.214286;
24.10.-30.10.2011;-80.000000;
31.10.-6.11.2011;-116.476190;
7.11.-13.11.2011;-31.750000;
14.11.-20.11.2011;-25.327381;
21.11.-27.11.2011;-59.053572;
28.11.-4.12.2011;-89.851190;
5.12.-11.12.2011;-35.898809;
12.12.-18.12.2011;-24.375000;
19.12.-25.12.2011;-42.035714;
26.12.-31.12.2011;-37.020833;
