Date;AL;
1.1.-4.1.2015;-150.177083;
5.1.-11.1.2015;-126.273810;
12.1.-18.1.2015;-66.583333;
19.1.-25.1.2015;-61.321429;
26.1.-1.2.2015;-108.482143;
2.2.-8.2.2015;-131.577381;
9.2.-15.2.2015;-48.827381;
16.2.-22.2.2015;-92.672619;
23.2.-1.3.2015;-125.095238;
2.3.-8.3.2015;-145.083333;
9.3.-15.3.2015;-70.404762;
16.3.-22.3.2015;-245.625000;
23.3.-29.3.2015;-111.982143;
30.3.-5.4.2015;-78.220238;
6.4.-12.4.2015;-112.619048;
13.4.-19.4.2015;-199.851191;
20.4.-26.4.2015;-85.154762;
27.4.-3.5.2015;-70.505952;
4.5.-10.5.2015;-94.029762;
11.5.-17.5.2015;-193.880952;
18.5.-24.5.2015;-64.934524;
25.5.-31.5.2015;-53.863096;
1.6.-7.6.2015;-45.857143;
8.6.-14.6.2015;-178.601190;
15.6.-21.6.2015;-119.946429;
22.6.-28.6.2015;-217.904762;
29.6.-5.7.2015;-86.065476;
6.7.-12.7.2015;-115.583333;
13.7.-19.7.2015;-118.946429;
20.7.-26.7.2015;-115.077381;
27.7.-2.8.2015;-123.029762;
3.8.-9.8.2015;-127.773810;
10.8.-16.8.2015;-186.904762;
17.8.-23.8.2015;-194.142857;
24.8.-30.8.2015;-242.875000;
31.8.-6.9.2015;-122.601190;
7.9.-13.9.2015;-297.994048;
14.9.-20.9.2015;-200.690476;
21.9.-27.9.2015;-75.101191;
28.9.-4.10.2015;-153.827381;
5.10.-11.10.2015;-335.517857;
12.10.-18.10.2015;-211.636905;
19.10.-25.10.2015;-76.845238;
26.10.-1.11.2015;-69.964286;
2.11.-8.11.2015;-246.880952;
9.11.-15.11.2015;-231.190476;
16.11.-22.11.2015;-97.291667;
23.11.-29.11.2015;-46.720238;
30.11.-6.12.2015;-157.821429;
7.12.-13.12.2015;-162.190476;
14.12.-20.12.2015;-170.428572;
21.12.-31.12.2015;-121.515152;
