Date;AL;
1.1.-10.1.2016;-106.970833;
11.1.-17.1.2016;-76.839286;
18.1.-24.1.2016;-141.196429;
25.1.-31.1.2016;-57.154762;
1.2.-7.2.2016;-107.565476;
8.2.-14.2.2016;-93.738095;
15.2.-21.2.2016;-193.755952;
22.2.-28.2.2016;-48.738095;
29.2.-6.3.2016;-68.369048;
7.3.-13.3.2016;-126.053571;
14.3.-20.3.2016;-201.636905;
21.3.-27.3.2016;-56.095238;
28.3.-3.4.2016;-118.625000;
4.4.-10.4.2016;-76.136905;
11.4.-17.4.2016;-212.345238;
18.4.-24.4.2016;-55.369048;
25.4.-1.5.2016;-89.666667;
2.5.-8.5.2016;-225.904762;
9.5.-15.5.2016;-160.785714;
16.5.-22.5.2016;-110.904762;
23.5.-29.5.2016;-81.892857;
30.5.-5.6.2016;-100.309524;
6.6.-12.6.2016;-122.255952;
13.6.-19.6.2016;-99.202381;
20.6.-26.6.2016;-97.857143;
27.6.-3.7.2016;-79.571429;
4.7.-10.7.2016;-128.988095;
11.7.-17.7.2016;-153.482143;
18.7.-24.7.2016;-78.886905;
25.7.-31.7.2016;-123.315476;
1.8.-7.8.2016;-164.077381;
8.8.-14.8.2016;-141.529762;
15.8.-21.8.2016;-72.202381;
22.8.-28.8.2016;-114.208333;
29.8.-4.9.2016;-270.535714;
5.9.-11.9.2016;-140.029762;
12.9.-18.9.2016;-69.529762;
19.9.-25.9.2016;-80.720238;
26.9.-2.10.2016;-340.000000;
3.10.-9.10.2016;-138.553571;
10.10.-16.10.2016;-175.309524;
17.10.-23.10.2016;-91.226191;
24.10.-30.10.2016;-361.321429;
31.10.-6.11.2016;-130.863095;
7.11.-13.11.2016;-118.529762;
14.11.-20.11.2016;-49.523809;
21.11.-27.11.2016;-204.047619;
28.11.-4.12.2016;-46.785714;
5.12.-11.12.2016;-143.125000;
12.12.-18.12.2016;-45.285714;
19.12.-25.12.2016;-216.642857;
26.12.-31.12.2016;-118.409722;
