Date;AL;
1.1.-6.1.2013;-19.222222;
7.1.-13.1.2013;-38.755952;
14.1.-20.1.2013;-81.964286;
21.1.-27.1.2013;-59.285714;
28.1.-3.2.2013;-38.494048;
4.2.-10.2.2013;-59.202381;
11.2.-17.2.2013;-101.130952;
18.2.-24.2.2013;-93.285714;
25.2.-3.3.2013;-109.845238;
4.3.-10.3.2013;-38.988095;
11.3.-17.3.2013;-125.988095;
18.3.-24.3.2013;-91.803572;
25.3.-31.3.2013;-139.678571;
1.4.-7.4.2013;-51.327381;
8.4.-14.4.2013;-39.565476;
15.4.-21.4.2013;-31.910714;
22.4.-28.4.2013;-124.625000;
29.4.-5.5.2013;-139.922619;
6.5.-12.5.2013;-64.416667;
13.5.-19.5.2013;-147.208333;
20.5.-26.5.2013;-183.291667;
27.5.-2.6.2013;-152.035714;
3.6.-9.6.2013;-168.303571;
10.6.-16.6.2013;-56.755952;
17.6.-23.6.2013;-146.035714;
24.6.-30.6.2013;-210.351190;
1.7.-7.7.2013;-138.089286;
8.7.-14.7.2013;-239.839286;
15.7.-21.7.2013;-112.958333;
22.7.-28.7.2013;-118.226190;
29.7.-4.8.2013;-76.517857;
5.8.-11.8.2013;-86.017857;
12.8.-18.8.2013;-132.577381;
19.8.-25.8.2013;-137.672619;
26.8.-1.9.2013;-126.922619;
2.9.-8.9.2013;-62.779762;
9.9.-15.9.2013;-59.827381;
16.9.-22.9.2013;-87.851190;
23.9.-29.9.2013;-44.148810;
30.9.-6.10.2013;-80.500000;
7.10.-13.10.2013;-99.136905;
14.10.-20.10.2013;-116.833333;
21.10.-27.10.2013;-20.529762;
28.10.-3.11.2013;-74.315476;
4.11.-10.11.2013;-107.351191;
11.11.-17.11.2013;-91.500000;
18.11.-24.11.2013;-32.976190;
25.11.-1.12.2013;-50.220238;
2.12.-8.12.2013;-72.702381;
9.12.-15.12.2013;-51.458333;
16.12.-22.12.2013;-49.089286;
23.12.-31.12.2013;-38.574074;
