Date;AL;
1.1.-5.1.2014;-130.941667;
6.1.-12.1.2014;-63.904762;
13.1.-19.1.2014;-29.440476;
20.1.-26.1.2014;-75.458333;
27.1.-2.2.2014;-46.976190;
3.2.-9.2.2014;-93.321429;
10.2.-16.2.2014;-63.523810;
17.2.-23.2.2014;-216.565476;
24.2.-2.3.2014;-80.125000;
3.3.-9.3.2014;-50.880953;
10.3.-16.3.2014;-55.130952;
17.3.-23.3.2014;-51.494048;
24.3.-30.3.2014;-66.994048;
31.3.-6.4.2014;-63.714285;
7.4.-13.4.2014;-124.148809;
14.4.-20.4.2014;-79.273810;
21.4.-27.4.2014;-103.053571;
28.4.-4.5.2014;-106.535714;
5.5.-11.5.2014;-117.339286;
12.5.-18.5.2014;-51.666667;
19.5.-25.5.2014;-81.666667;
26.5.-1.6.2014;-60.297619;
2.6.-8.6.2014;-86.291667;
9.6.-15.6.2014;-61.476190;
16.6.-22.6.2014;-99.738095;
23.6.-29.6.2014;-56.404762;
30.6.-6.7.2014;-51.904762;
7.7.-13.7.2014;-83.809524;
14.7.-20.7.2014;-41.934524;
21.7.-27.7.2014;-52.821429;
28.7.-3.8.2014;-70.976190;
4.8.-10.8.2014;-102.065476;
11.8.-17.8.2014;-58.654762;
18.8.-24.8.2014;-80.315476;
25.8.-31.8.2014;-167.279762;
1.9.-7.9.2014;-108.041667;
8.9.-14.9.2014;-78.755952;
15.9.-21.9.2014;-54.726190;
22.9.-28.9.2014;-179.785714;
29.9.-5.10.2014;-103.267857;
6.10.-12.10.2014;-102.011905;
13.10.-19.10.2014;-117.994048;
20.10.-26.10.2014;-191.684524;
27.10.-2.11.2014;-94.357143;
3.11.-9.11.2014;-85.500000;
10.11.-16.11.2014;-125.672619;
17.11.-23.11.2014;-139.565476;
24.11.-30.11.2014;-61.410714;
1.12.-7.12.2014;-112.029762;
8.12.-14.12.2014;-132.755952;
15.12.-21.12.2014;-117.095238;
22.12.-31.12.2014;-117.887500;
