Date;Solar;
1.1.-6.1.2013;128.283333;
7.1.-13.1.2013;158.342857;
14.1.-20.1.2013;121.957143;
21.1.-27.1.2013;100.300000;
28.1.-3.2.2013;99.714286;
4.2.-10.2.2013;102.285714;
11.2.-17.2.2013;99.728571;
18.2.-24.2.2013;103.514286;
25.2.-3.3.2013;103.385714;
4.3.-10.3.2013;114.185714;
11.3.-17.3.2013;121.971429;
18.3.-24.3.2013;104.471429;
25.3.-31.3.2013;100.171429;
1.4.-7.4.2013;129.528571;
8.4.-14.4.2013;136.414286;
15.4.-21.4.2013;108.271429;
22.4.-28.4.2013;122.214286;
29.4.-5.5.2013;149.814286;
6.5.-12.5.2013;134.485714;
13.5.-19.5.2013;144.957143;
20.5.-26.5.2013;130.928571;
27.5.-2.6.2013;109.285714;
3.6.-9.6.2013;110.128571;
10.6.-16.6.2013;104.785714;
17.6.-23.6.2013;131.242857;
24.6.-30.6.2013;109.242857;
1.7.-7.7.2013;130.657143;
8.7.-14.7.2013;120.342857;
15.7.-21.7.2013;116.471429;
22.7.-28.7.2013;111.671429;
29.7.-4.8.2013;113.442857;
5.8.-11.8.2013;107.871429;
12.8.-18.8.2013;128.871429;
19.8.-25.8.2013;127.942857;
26.8.-1.9.2013;110.185714;
2.9.-8.9.2013;105.485714;
9.9.-15.9.2013;94.300000;
16.9.-22.9.2013;106.042857;
23.9.-29.9.2013;108.471429;
30.9.-6.10.2013;108.000000;
7.10.-13.10.2013;120.185714;
14.10.-20.10.2013;130.528571;
21.10.-27.10.2013;154.757143;
28.10.-3.11.2013;144.785714;
4.11.-10.11.2013;146.642857;
11.11.-17.11.2013;168.757143;
18.11.-24.11.2013;140.771429;
25.11.-1.12.2013;123.257143;
2.12.-8.12.2013;142.885714;
9.12.-15.12.2013;160.971429;
16.12.-22.12.2013;145.742857;
23.12.-31.12.2013;129.177778;
