Date;Solar;
1.1.-5.1.2014;189.880000;
6.1.-12.1.2014;181.871429;
13.1.-19.1.2014;126.300000;
20.1.-26.1.2014;134.214286;
27.1.-2.2.2014;159.514286;
3.2.-9.2.2014;177.871429;
10.2.-16.2.2014;159.142857;
17.2.-23.2.2014;155.042857;
24.2.-2.3.2014;167.471429;
3.3.-9.3.2014;148.028571;
10.3.-16.3.2014;145.357143;
17.3.-23.3.2014;147.328571;
24.3.-30.3.2014;148.957143;
31.3.-6.4.2014;150.471429;
7.4.-13.4.2014;136.214286;
14.4.-20.4.2014;169.757143;
21.4.-27.4.2014;134.857143;
28.4.-4.5.2014;129.085714;
5.5.-11.5.2014;151.457143;
12.5.-18.5.2014;151.428571;
19.5.-25.5.2014;119.071429;
26.5.-1.6.2014;106.371429;
2.6.-8.6.2014;124.500000;
9.6.-15.6.2014;161.528571;
16.6.-22.6.2014;110.700000;
23.6.-29.6.2014;107.371429;
30.6.-6.7.2014;180.328571;
7.7.-13.7.2014;179.085714;
14.7.-20.7.2014;96.242857;
21.7.-27.7.2014;107.614286;
28.7.-3.8.2014;155.814286;
4.8.-10.8.2014;131.585714;
11.8.-17.8.2014;110.542857;
18.8.-24.8.2014;126.742857;
25.8.-31.8.2014;129.571429;
1.9.-7.9.2014;146.400000;
8.9.-14.9.2014;157.171429;
15.9.-21.9.2014;127.400000;
22.9.-28.9.2014;160.614286;
29.9.-5.10.2014;147.971429;
6.10.-12.10.2014;120.271429;
13.10.-19.10.2014;142.157143;
20.10.-26.10.2014;212.071429;
27.10.-2.11.2014;142.471429;
3.11.-9.11.2014;132.571429;
10.11.-16.11.2014;150.771429;
17.11.-23.11.2014;163.885714;
24.11.-30.11.2014;166.828571;
1.12.-7.12.2014;144.985714;
8.12.-14.12.2014;145.428571;
15.12.-21.12.2014;192.328571;
22.12.-31.12.2014;139.370000;
