Date;Solar;
1.1.-7.1.2018;67.314286;
8.1.-14.1.2018;68.342857;
15.1.-21.1.2018;68.014286;
22.1.-28.1.2018;67.557143;
29.1.-4.2.2018;67.485714;
5.2.-11.2.2018;75.028571;
12.2.-18.2.2018;71.542857;
19.2.-25.2.2018;66.914286;
26.2.-4.3.2018;66.885714;
5.3.-11.3.2018;66.528571;
12.3.-18.3.2018;67.942857;
19.3.-25.3.2018;68.228571;
26.3.-1.4.2018;68.428571;
2.4.-8.4.2018;67.671429;
9.4.-15.4.2018;69.671429;
16.4.-22.4.2018;72.857143;
23.4.-29.4.2018;71.885714;
30.4.-6.5.2018;68.928571;
7.5.-13.5.2018;71.285714;
14.5.-20.5.2018;71.300000;
21.5.-27.5.2018;74.814286;
28.5.-3.6.2018;77.314286;
4.6.-10.6.2018;71.700000;
11.6.-17.6.2018;73.185714;
18.6.-24.6.2018;80.528571;
25.6.-1.7.2018;72.185714;
2.7.-8.7.2018;71.600000;
9.7.-15.7.2018;74.857143;
16.7.-22.7.2018;72.785714;
23.7.-29.7.2018;68.985714;
30.7.-5.8.2018;71.671429;
6.8.-12.8.2018;71.000000;
13.8.-19.8.2018;69.571429;
20.8.-26.8.2018;71.171429;
27.8.-2.9.2018;70.114286;
3.9.-9.9.2018;68.942857;
10.9.-16.9.2018;70.014286;
17.9.-23.9.2018;68.242857;
24.9.-30.9.2018;68.642857;
1.10.-7.10.2018;68.528571;
8.10.-14.10.2018;70.385714;
15.10.-21.10.2018;69.528571;
22.10.-28.10.2018;68.971429;
29.10.-4.11.2018;66.457143;
5.11.-11.11.2018;67.671429;
12.11.-18.11.2018;68.228571;
19.11.-25.11.2018;68.057143;
26.11.-2.12.2018;66.514286;
3.12.-9.12.2018;67.957143;
10.12.-16.12.2018;68.485714;
17.12.-23.12.2018;68.157143;
24.12.-30.12.2018;66.857143;
