"Year";"Correlation";"parameter"
"2011-2016";-0.177605655634783;"Lyman alpha solar index"
"2011-2016";-0.150688845090518;"Solar index_F10.7"
"2011-2016";-0.120306839082515;"Solar wind density"
"2011-2016";-0.106710583633978;"Kp index"
"2011-2016";-0.104270149785358;"R sunspot number"
"2011-2016";-0.103215193841725;"Proton flux over 30 MeV"
"2011-2016";-0.0995430364162404;"Proton flux over 60 MeV"
"2011-2016";-0.09421445900546;"Proton flux over 10 MeV"
"2011-2016";0.0900711527838733;"Dst index"
"2011-2016";-0.0858292025384873;"Ap index"
"2011-2016";-0.0626486135962501;"Polar cap north (Thule)"
"2011-2016";-0.0300341751888469;"Polar cap south (Vostok)"
"2011-2016";-0.0164102629053278;"Solar wind temperature"
"2011-2016";-0.0077058623993628;"Solar wind speed"
