"Year";"Correlation";"parameter"
2018;0.340391166330796;"Proton flux over 60 MeV"
2018;0.318614576056651;"Proton flux over 30 MeV"
2018;0.15548470901355;"Dst index"
2018;-0.0706116296301198;"R sunspot number"
2018;-0.0674596012229806;"Solar wind temperature"
2018;0.0656327300966646;"Proton flux over 10 MeV"
2018;0.0623318161473933;"Solar wind speed"
2018;-0.0605648855681561;"Solar wind density"
2018;-0.0424169978128342;"Ap index"
2018;-0.0320881977301217;"Lyman alpha solar index"
2018;0.0282943273641458;"Solar index_F10.7"
2018;0.0265775869343745;"Kp index"
