"Year";"Correlation";"parameter"
"2010-2015";0.0714925658308115;"Solar wind temperature"
"2010-2015";-0.0658214536133454;"Proton flux over 60 MeV"
"2010-2015";-0.0597613159586278;"Proton flux over 30 MeV"
"2010-2015";0.058614474116932;"Solar wind speed"
"2010-2015";-0.0584350195723254;"Polar cap north (Thule)"
"2010-2015";0.0577262654255326;"Dst index"
"2010-2015";-0.0482714177163387;"Solar wind density"
"2010-2015";-0.0477371821437269;"Proton flux over 10 MeV"
"2010-2015";0.038658187181273;"Polar cap south (Vostok)"
"2010-2015";-0.0343988120788938;"Lyman alpha solar index"
"2010-2015";0.0258137712712214;"Ap index"
"2010-2015";-0.0166320314017144;"Solar index_F10.7"
"2010-2015";0.00844756657868547;"R sunspot number"
"2010-2015";-0.00246250880786311;"Kp index"
