Date;AE;
1.1.-9.1.2010;29.217593;
10.1.-16.1.2010;55.755953;
17.1.-23.1.2010;65.005953;
24.1.-30.1.2010;55.089286;
31.1.-6.2.2010;96.375000;
7.2.-13.2.2010;65.714286;
14.2.-20.2.2010;126.053572;
21.2.-27.2.2010;56.946429;
28.2.-6.3.2010;87.428572;
7.3.-13.3.2010;110.630952;
14.3.-20.3.2010;88.595238;
21.3.-27.3.2010;53.761905;
28.3.-3.4.2010;168.482143;
4.4.-10.4.2010;376.357143;
11.4.-17.4.2010;126.791667;
18.4.-24.4.2010;121.279762;
25.4.-1.5.2010;75.315476;
2.5.-8.5.2010;273.178572;
9.5.-15.5.2010;66.589286;
16.5.-22.5.2010;121.500000;
23.5.-29.5.2010;179.476191;
30.5.-5.6.2010;278.089286;
6.6.-12.6.2010;95.154762;
13.6.-19.6.2010;152.672619;
20.6.-26.6.2010;105.630952;
27.6.-3.7.2010;204.785714;
4.7.-10.7.2010;80.119048;
11.7.-17.7.2010;96.119048;
18.7.-24.7.2010;74.202381;
25.7.-31.7.2010;187.535714;
1.8.-7.8.2010;197.809524;
8.8.-14.8.2010;122.142857;
15.8.-21.8.2010;85.005952;
22.8.-28.8.2010;179.773810;
29.8.-4.9.2010;55.928572;
5.9.-11.9.2010;117.404762;
12.9.-18.9.2010;101.321429;
19.9.-25.9.2010;94.428571;
26.9.-2.10.2010;66.529762;
3.10.-9.10.2010;86.720238;
10.10.-16.10.2010;150.666667;
17.10.-23.10.2010;140.232143;
24.10.-30.10.2010;98.898810;
31.10.-6.11.2010;60.880952;
7.11.-13.11.2010;134.982143;
14.11.-20.11.2010;73.755952;
21.11.-27.11.2010;87.613095;
28.11.-4.12.2010;56.220238;
5.12.-11.12.2010;52.964286;
12.12.-18.12.2010;116.642857;
19.12.-25.12.2010;80.744048;
26.12.-31.12.2010;103.152778;
