Week;Zraneni;Kp
1.tyzden.2018;12;9.107143
2.tyzden.2018;22;14.035714
3.tyzden.2018;18;12.642857
4.tyzden.2018;15;15.839286
5.tyzden.2018;10;8.375000
6.tyzden.2018;18;9.696429
7.tyzden.2018;15;15.017857
8.tyzden.2018;13;16.714286
9.tyzden.2018;10;15.303571
10.tyzden.2018;15;12.767857
11.tyzden.2018;16;20.714286
12.tyzden.2018;9;20.392857
13.tyzden.2018;16;12.803571
14.tyzden.2018;22;10.714286
15.tyzden.2018;14;20.035714
16.tyzden.2018;30;15.803571
17.tyzden.2018;12;9.767857
18.tyzden.2018;13;15.267857
19.tyzden.2018;9;25.160714
20.tyzden.2018;19;9.267857
21.tyzden.2018;18;8.535714
22.tyzden.2018;22;19.071429
23.tyzden.2018;27;10.196429
24.tyzden.2018;14;7.500000
25.tyzden.2018;18;16.714286
26.tyzden.2018;18;14.464286
27.tyzden.2018;19;12.071429
28.tyzden.2018;18;11.750000
29.tyzden.2018;26;13.928571
30.tyzden.2018;28;12.982143
31.tyzden.2018;31;11.267857
32.tyzden.2018;23;12.982143
33.tyzden.2018;17;18.392857
34.tyzden.2018;37;21.910714
35.tyzden.2018;15;15.017857
36.tyzden.2018;13;13.892857
37.tyzden.2018;14;25.250000
38.tyzden.2018;17;17.500000
39.tyzden.2018;14;17.053571
40.tyzden.2018;35;16.071429
41.tyzden.2018;19;23.053571
42.tyzden.2018;19;7.910714
43.tyzden.2018;13;9.875000
44.tyzden.2018;21;9.785714
45.tyzden.2018;23;23.125000
46.tyzden.2018;22;6.517857
47.tyzden.2018;23;7.678571
48.tyzden.2018;17;9.660714
49.tyzden.2018;23;18.267857
50.tyzden.2018;22;8.785714
51.tyzden.2018;20;11.875000
52.tyzden.2018;6;15.000000
