Week;Usmrteni;Sunspot
1.tyzden.2014;6;136.000000
2.tyzden.2014;11;135.142857
3.tyzden.2014;12;98.000000
4.tyzden.2014;7;125.000000
5.tyzden.2014;8;93.000000
6.tyzden.2014;7;150.000000
7.tyzden.2014;14;135.571429
8.tyzden.2014;5;133.142857
9.tyzden.2014;2;180.000000
10.tyzden.2014;2;134.857143
11.tyzden.2014;7;115.714286
12.tyzden.2014;10;137.857143
13.tyzden.2014;2;120.142857
14.tyzden.2014;3;125.000000
15.tyzden.2014;3;86.285714
16.tyzden.2014;3;166.428571
17.tyzden.2014;16;87.000000
18.tyzden.2014;3;98.857143
19.tyzden.2014;3;136.285714
20.tyzden.2014;6;147.285714
21.tyzden.2014;7;92.714286
22.tyzden.2014;6;66.142857
23.tyzden.2014;17;97.285714
24.tyzden.2014;6;154.571429
25.tyzden.2014;3;93.857143
26.tyzden.2014;7;67.142857
27.tyzden.2014;4;161.285714
28.tyzden.2014;6;150.285714
29.tyzden.2014;7;25.000000
30.tyzden.2014;3;54.714286
31.tyzden.2014;2;140.285714
32.tyzden.2014;13;106.285714
33.tyzden.2014;7;91.571429
34.tyzden.2014;17;120.571429
35.tyzden.2014;7;86.142857
36.tyzden.2014;11;121.571429
37.tyzden.2014;6;144.714286
38.tyzden.2014;8;95.285714
39.tyzden.2014;8;144.428571
40.tyzden.2014;5;132.857143
41.tyzden.2014;6;52.142857
42.tyzden.2014;3;70.285714
43.tyzden.2014;6;125.428571
44.tyzden.2014;5;95.714286
45.tyzden.2014;2;103.714286
46.tyzden.2014;12;96.857143
47.tyzden.2014;4;78.857143
48.tyzden.2014;10;137.857143
49.tyzden.2014;5;93.285714
50.tyzden.2014;5;107.285714
51.tyzden.2014;4;160.428571
52.tyzden.2014;11;97.200000
