"Year";"Correlation";"parameter"
"2012-2017";0.0942041781658718;"Ap index"
"2012-2017";0.0802247882500797;"Polar cap south (Vostok)"
"2012-2017";0.0613444814046566;"Solar wind temperature"
"2012-2017";-0.0606718493925336;"Lyman alpha solar index"
"2012-2017";0.053017786563403;"Kp index"
"2012-2017";-0.032025226582671;"R sunspot number"
"2012-2017";0.0290307104385373;"Solar wind speed"
"2012-2017";-0.0281561938594292;"Solar index_F10.7"
"2012-2017";0.0272001658398493;"Polar cap north (Thule)"
"2012-2017";-0.0181624827012843;"Solar wind density"
"2012-2017";-0.01451477424828;"Proton flux over 10 MeV"
"2012-2017";-0.0118003335110454;"Proton flux over 30 MeV"
"2012-2017";-0.010200174481324;"Proton flux over 60 MeV"
"2012-2017";0.0010013335328977;"Dst index"
