"Year";"Correlation";"parameter"
"2015-2017";-0.276901986182661;"Lyman alpha solar index"
"2015-2017";-0.261384675839478;"Solar index_F10.7"
"2015-2017";-0.199493134536049;"R sunspot number"
"2015-2017";0.114607807607024;"Proton flux over 30 MeV"
"2015-2017";0.110100854749614;"Proton flux over 60 MeV"
"2015-2017";0.101403589008048;"Proton flux over 10 MeV"
"2015-2017";0.0947842299449727;"Dst index"
"2015-2017";-0.0863866986820926;"Solar wind density"
"2015-2017";-0.0818526097823068;"Kp index"
"2015-2017";-0.0523685002785416;"Ap index"
"2015-2017";-0.0359684975208269;"Polar cap south (Vostok)"
"2015-2017";-0.0185681744949798;"Solar wind temperature"
"2015-2017";0.00619234898957465;"Polar cap north (Thule)"
"2015-2017";-0.00348201255284861;"Solar wind speed"
