"Year";"Correlation";"parameter"
"2012-2014";-0.154256876814685;"Proton flux over 30 MeV"
"2012-2014";-0.152721842229191;"Proton flux over 60 MeV"
"2012-2014";-0.136318015795857;"Proton flux over 10 MeV"
"2012-2014";-0.127522019212271;"R sunspot number"
"2012-2014";0.0867271384327319;"Dst index"
"2012-2014";-0.0748392820126813;"Solar index_F10.7"
"2012-2014";-0.0649083289685273;"Lyman alpha solar index"
"2012-2014";-0.0628604982806196;"Solar wind speed"
"2012-2014";-0.0560029748962012;"Kp index"
"2012-2014";-0.0487971621804788;"Polar cap north (Thule)"
"2012-2014";-0.044888490654478;"Polar cap south (Vostok)"
"2012-2014";-0.0390917187182183;"Ap index"
"2012-2014";-0.0150785979215931;"Solar wind density"
"2012-2014";0.00955023039154655;"Solar wind temperature"
