"Year";"Correlation";"parameter"
"2015-2017";0.190982906135653;"Polar cap south (Vostok)"
"2015-2017";0.190426996517504;"Ap index"
"2015-2017";0.146077109137384;"Proton flux over 10 MeV"
"2015-2017";0.142532496340206;"Proton flux over 30 MeV"
"2015-2017";0.139125964060022;"Polar cap north (Thule)"
"2015-2017";0.138643056251499;"Proton flux over 60 MeV"
"2015-2017";0.13281363286743;"Kp index"
"2015-2017";-0.125529955214905;"Dst index"
"2015-2017";0.0682312692479118;"Solar wind temperature"
"2015-2017";-0.0678394863572792;"Lyman alpha solar index"
"2015-2017";0.0547538367499961;"Solar wind density"
"2015-2017";-0.0317826849803807;"R sunspot number"
"2015-2017";-0.0225430726557705;"Solar index_F10.7"
"2015-2017";0.01562721888404;"Solar wind speed"
