Week;Nehodovost;
1.tyzden.2010;438;
2.tyzden.2010;367;
3.tyzden.2010;499;
4.tyzden.2010;470;
5.tyzden.2010;404;
6.tyzden.2010;406;
7.tyzden.2010;369;
8.tyzden.2010;412;
9.tyzden.2010;351;
10.tyzden.2010;434;
11.tyzden.2010;402;
12.tyzden.2010;399;
13.tyzden.2010;331;
14.tyzden.2010;354;
15.tyzden.2010;407;
16.tyzden.2010;401;
17.tyzden.2010;398;
18.tyzden.2010;416;
19.tyzden.2010;386;
20.tyzden.2010;436;
21.tyzden.2010;419;
22.tyzden.2010;433;
23.tyzden.2010;444;
24.tyzden.2010;390;
25.tyzden.2010;360;
26.tyzden.2010;443;
27.tyzden.2010;429;
28.tyzden.2010;408;
29.tyzden.2010;411;
30.tyzden.2010;404;
31.tyzden.2010;391;
32.tyzden.2010;408;
33.tyzden.2010;427;
34.tyzden.2010;414;
35.tyzden.2010;378;
36.tyzden.2010;403;
37.tyzden.2010;417;
38.tyzden.2010;434;
39.tyzden.2010;451;
40.tyzden.2010;428;
41.tyzden.2010;464;
42.tyzden.2010;461;
43.tyzden.2010;477;
44.tyzden.2010;363;
45.tyzden.2010;451;
46.tyzden.2010;461;
47.tyzden.2010;490;
48.tyzden.2010;494;
49.tyzden.2010;437;
50.tyzden.2010;474;
51.tyzden.2010;408;
52.tyzden.2010;314;
