Date;Kp;
1.1.-5.1.2014;19.725000;
6.1.-12.1.2014;12.660714;
13.1.-19.1.2014;7.892857;
20.1.-26.1.2014;14.571429;
27.1.-2.2.2014;8.357143;
3.2.-9.2.2014;18.767857;
10.2.-16.2.2014;15.214286;
17.2.-23.2.2014;26.875000;
24.2.-2.3.2014;13.678571;
3.3.-9.3.2014;10.446429;
10.3.-16.3.2014;10.178571;
17.3.-23.3.2014;12.303571;
24.3.-30.3.2014;13.660714;
31.3.-6.4.2014;12.410714;
7.4.-13.4.2014;17.232143;
14.4.-20.4.2014;19.267857;
21.4.-27.4.2014;16.607143;
28.4.-4.5.2014;14.285714;
5.5.-11.5.2014;16.982143;
12.5.-18.5.2014;10.285714;
19.5.-25.5.2014;11.446429;
26.5.-1.6.2014;9.375000;
2.6.-8.6.2014;18.285714;
9.6.-15.6.2014;12.142857;
16.6.-22.6.2014;16.910714;
23.6.-29.6.2014;10.535714;
30.6.-6.7.2014;9.017857;
7.7.-13.7.2014;14.375000;
14.7.-20.7.2014;9.250000;
21.7.-27.7.2014;11.428571;
28.7.-3.8.2014;14.660714;
4.8.-10.8.2014;16.232143;
11.8.-17.8.2014;12.071429;
18.8.-24.8.2014;13.017857;
25.8.-31.8.2014;23.214286;
1.9.-7.9.2014;19.375000;
8.9.-14.9.2014;19.517857;
15.9.-21.9.2014;15.875000;
22.9.-28.9.2014;25.464286;
29.9.-5.10.2014;17.642857;
6.10.-12.10.2014;15.535714;
13.10.-19.10.2014;20.000000;
20.10.-26.10.2014;25.803571;
27.10.-2.11.2014;17.982143;
3.11.-9.11.2014;21.839286;
10.11.-16.11.2014;24.785714;
17.11.-23.11.2014;21.750000;
24.11.-30.11.2014;13.250000;
1.12.-7.12.2014;24.000000;
8.12.-14.12.2014;23.107143;
15.12.-21.12.2014;19.464286;
22.12.-31.12.2014;24.487500;
