Date;Kp;
1.1.-8.1.2012;12.171875;
9.1.-15.1.2012;12.892857;
16.1.-22.1.2012;15.785714;
23.1.-29.1.2012;20.339286;
30.1.-5.2.2012;15.071429;
6.2.-12.2.2012;16.660714;
13.2.-19.2.2012;18.875000;
20.2.-26.2.2012;17.946429;
27.2.-4.3.2012;23.517857;
5.3.-11.3.2012;33.750000;
12.3.-18.3.2012;31.535714;
19.3.-25.3.2012;15.214286;
26.3.-1.4.2012;15.285714;
2.4.-8.4.2012;16.696429;
9.4.-15.4.2012;18.285714;
16.4.-22.4.2012;15.964286;
23.4.-29.4.2012;26.678571;
30.4.-6.5.2012;8.714286;
7.5.-13.5.2012;22.125000;
14.5.-20.5.2012;14.053571;
21.5.-27.5.2012;16.178571;
28.5.-3.6.2012;17.446429;
4.6.-10.6.2012;22.267857;
11.6.-17.6.2012;19.625000;
18.6.-24.6.2012;9.535714;
25.6.-1.7.2012;21.071429;
2.7.-8.7.2012;24.589286;
9.7.-15.7.2012;28.928571;
16.7.-22.7.2012;22.321429;
23.7.-29.7.2012;14.607143;
30.7.-5.8.2012;16.410714;
6.8.-12.8.2012;14.482143;
13.8.-19.8.2012;19.410714;
20.8.-26.8.2012;19.589286;
27.8.-2.9.2012;11.571429;
3.9.-9.9.2012;25.821429;
10.9.-16.9.2012;11.535714;
17.9.-23.9.2012;14.678571;
24.9.-30.9.2012;8.946429;
1.10.-7.10.2012;13.750000;
8.10.-14.10.2012;33.839286;
15.10.-21.10.2012;11.142857;
22.10.-28.10.2012;8.928571;
29.10.-4.11.2012;10.803571;
5.11.-11.11.2012;8.339286;
12.11.-18.11.2012;19.750000;
19.11.-25.11.2012;15.875000;
26.11.-2.12.2012;8.339286;
3.12.-9.12.2012;4.785714;
10.12.-16.12.2012;9.107143;
17.12.-23.12.2012;11.875000;
24.12.-31.12.2012;5.156250;
