"Year";"Correlation";"parameter"
"2014-2016";-0.25758555346179;"Lyman alpha solar index"
"2014-2016";-0.227577769832283;"Solar index_F10.7"
"2014-2016";-0.192940214134009;"R sunspot number"
"2014-2016";-0.152281964248578;"Proton flux over 60 MeV"
"2014-2016";-0.143519389967345;"Proton flux over 30 MeV"
"2014-2016";-0.143032450548644;"Proton flux over 10 MeV"
"2014-2016";0.101894478281885;"AU index"
"2014-2016";0.0899627862529065;"AE index"
"2014-2016";-0.0787987691380474;"AL index"
"2014-2016";0.0406050545520433;"Polar cap north (Thule)"
"2014-2016";0.0394508862659659;"Dst index"
"2014-2016";0.0153838728192288;"Solar wind temperature"
"2014-2016";0.00848723101813196;"Solar wind speed"
"2014-2016";0.00705001877561835;"Solar wind density"
"2014-2016";-0.00495843865342843;"Kp index"
"2014-2016";-0.00277974057958201;"Ap index"
"2014-2016";0.00134017496351531;"Polar cap south (Vostok)"
