Date;AU;
1.1.-5.1.2014;48.491667;
6.1.-12.1.2014;39.803572;
13.1.-19.1.2014;27.166667;
20.1.-26.1.2014;26.738095;
27.1.-2.2.2014;19.261905;
3.2.-9.2.2014;53.994048;
10.2.-16.2.2014;37.773809;
17.2.-23.2.2014;81.494047;
24.2.-2.3.2014;40.642857;
3.3.-9.3.2014;26.535714;
10.3.-16.3.2014;37.077381;
17.3.-23.3.2014;37.172619;
24.3.-30.3.2014;35.696429;
31.3.-6.4.2014;36.845238;
7.4.-13.4.2014;85.547619;
14.4.-20.4.2014;70.958333;
21.4.-27.4.2014;69.666667;
28.4.-4.5.2014;87.940476;
5.5.-11.5.2014;87.071429;
12.5.-18.5.2014;44.940476;
19.5.-25.5.2014;62.107143;
26.5.-1.6.2014;47.273809;
2.6.-8.6.2014;81.880953;
9.6.-15.6.2014;57.154762;
16.6.-22.6.2014;89.333333;
23.6.-29.6.2014;52.410714;
30.6.-6.7.2014;51.386905;
7.7.-13.7.2014;90.696429;
14.7.-20.7.2014;34.255952;
21.7.-27.7.2014;55.089286;
28.7.-3.8.2014;68.273809;
4.8.-10.8.2014;84.053571;
11.8.-17.8.2014;51.636905;
18.8.-24.8.2014;59.708333;
25.8.-31.8.2014;114.029762;
1.9.-7.9.2014;90.029762;
8.9.-14.9.2014;66.994048;
15.9.-21.9.2014;43.285714;
22.9.-28.9.2014;98.994048;
29.9.-5.10.2014;61.470238;
6.10.-12.10.2014;55.202381;
13.10.-19.10.2014;62.029762;
20.10.-26.10.2014;85.017857;
27.10.-2.11.2014;55.017857;
3.11.-9.11.2014;57.785714;
10.11.-16.11.2014;56.791667;
17.11.-23.11.2014;59.226191;
24.11.-30.11.2014;36.273810;
1.12.-7.12.2014;87.190476;
8.12.-14.12.2014;78.422619;
15.12.-21.12.2014;61.982143;
22.12.-31.12.2014;83.545833;
