Date;AU;
1.1.-9.1.2011;40.263889;
10.1.-16.1.2011;47.958333;
17.1.-23.1.2011;33.982143;
24.1.-30.1.2011;31.892857;
31.1.-6.2.2011;58.702381;
7.2.-13.2.2011;29.184524;
14.2.-20.2.2011;45.392857;
21.2.-27.2.2011;24.720238;
28.2.-6.3.2011;70.738095;
7.3.-13.3.2011;101.744048;
14.3.-20.3.2011;20.922619;
21.3.-27.3.2011;30.142857;
28.3.-3.4.2011;58.363095;
4.4.-10.4.2011;81.946428;
11.4.-17.4.2011;54.136905;
18.4.-24.4.2011;50.434524;
25.4.-1.5.2011;72.708333;
2.5.-8.5.2011;65.583333;
9.5.-15.5.2011;48.958333;
16.5.-22.5.2011;49.297619;
23.5.-29.5.2011;99.815476;
30.5.-5.6.2011;96.916666;
6.6.-12.6.2011;94.619048;
13.6.-19.6.2011;62.178571;
20.6.-26.6.2011;106.166667;
27.6.-3.7.2011;65.267857;
4.7.-10.7.2011;102.863095;
11.7.-17.7.2011;72.767857;
18.7.-24.7.2011;92.315476;
25.7.-31.7.2011;60.190476;
1.8.-7.8.2011;70.619048;
8.8.-14.8.2011;55.297619;
15.8.-21.8.2011;40.988095;
22.8.-28.8.2011;41.761905;
29.8.-4.9.2011;49.982143;
5.9.-11.9.2011;79.184524;
12.9.-18.9.2011;72.654762;
19.9.-25.9.2011;23.464286;
26.9.-2.10.2011;81.005952;
3.10.-9.10.2011;55.577381;
10.10.-16.10.2011;28.946429;
17.10.-23.10.2011;27.851191;
24.10.-30.10.2011;31.875000;
31.10.-6.11.2011;49.488095;
7.11.-13.11.2011;17.214286;
14.11.-20.11.2011;16.642857;
21.11.-27.11.2011;44.666667;
28.11.-4.12.2011;40.095238;
5.12.-11.12.2011;22.011905;
12.12.-18.12.2011;14.309524;
19.12.-25.12.2011;26.476190;
26.12.-31.12.2011;25.826389;
