"Year";"Correlation";"parameter"
"2012-2017";0.0807152986073678;"Dst index"
"2012-2017";-0.0655977196430485;"Solar wind density"
"2012-2017";-0.0624664523444704;"Lyman alpha solar index"
"2012-2017";-0.043340102779457;"Polar cap south (Vostok)"
"2012-2017";0.0298818947833674;"R sunspot number"
"2012-2017";-0.025837915068436;"Ap index"
"2012-2017";-0.0213620523972753;"Kp index"
"2012-2017";-0.0158661989064545;"Proton flux over 10 MeV"
"2012-2017";-0.0127070954847859;"Solar wind speed"
"2012-2017";-0.0120395509857985;"Solar wind temperature"
"2012-2017";-0.0105461565152446;"Solar index_F10.7"
"2012-2017";-0.00672195657981893;"Polar cap north (Thule)"
"2012-2017";-0.00406343092239089;"Proton flux over 30 MeV"
"2012-2017";0.000359847458117409;"Proton flux over 60 MeV"
