Week;Nehodovost;Kp
1.tyzden.2010;438;2.708333
2.tyzden.2010;367;10.267857
3.tyzden.2010;499;8.892857
4.tyzden.2010;470;7.196429
5.tyzden.2010;404;13.410714
6.tyzden.2010;406;9.803571
7.tyzden.2010;369;12.928571
8.tyzden.2010;412;6.089286
9.tyzden.2010;351;11.482143
10.tyzden.2010;434;13.000000
11.tyzden.2010;402;11.464286
12.tyzden.2010;399;6.321429
13.tyzden.2010;331;18.178571
14.tyzden.2010;354;28.892857
15.tyzden.2010;407;14.500000
16.tyzden.2010;401;12.660714
17.tyzden.2010;398;7.482143
18.tyzden.2010;416;24.321429
19.tyzden.2010;386;8.410714
20.tyzden.2010;436;12.964286
21.tyzden.2010;419;13.535714
22.tyzden.2010;433;23.214286
23.tyzden.2010;444;9.642857
24.tyzden.2010;390;16.178571
25.tyzden.2010;360;12.732143
26.tyzden.2010;443;22.178571
27.tyzden.2010;429;6.214286
28.tyzden.2010;408;9.571429
29.tyzden.2010;411;10.142857
30.tyzden.2010;404;18.785714
31.tyzden.2010;391;19.982143
32.tyzden.2010;408;12.017857
33.tyzden.2010;427;9.000000
34.tyzden.2010;414;20.928571
35.tyzden.2010;378;6.464286
36.tyzden.2010;403;13.196429
37.tyzden.2010;417;12.071429
38.tyzden.2010;434;13.357143
39.tyzden.2010;451;9.839286
40.tyzden.2010;428;8.857143
41.tyzden.2010;464;14.803571
42.tyzden.2010;461;17.321429
43.tyzden.2010;477;14.732143
44.tyzden.2010;363;7.410714
45.tyzden.2010;451;14.803571
46.tyzden.2010;461;13.000000
47.tyzden.2010;490;12.803571
48.tyzden.2010;494;7.696429
49.tyzden.2010;437;6.178571
50.tyzden.2010;474;16.803571
51.tyzden.2010;408;8.357143
52.tyzden.2010;314;10.208333
