Date;Ap;
1.1.-4.1.2015;11.937500;
5.1.-11.1.2015;13.857143;
12.1.-18.1.2015;5.928571;
19.1.-25.1.2015;6.714286;
26.1.-1.2.2015;11.482143;
2.2.-8.2.2015;12.303571;
9.2.-15.2.2015;4.678571;
16.2.-22.2.2015;10.285714;
23.2.-1.3.2015;13.178571;
2.3.-8.3.2015;13.321429;
9.3.-15.3.2015;6.160714;
16.3.-22.3.2015;35.642857;
23.3.-29.3.2015;10.803571;
30.3.-5.4.2015;8.803571;
6.4.-12.4.2015;10.857143;
13.4.-19.4.2015;18.321429;
20.4.-26.4.2015;7.410714;
27.4.-3.5.2015;5.250000;
4.5.-10.5.2015;8.821429;
11.5.-17.5.2015;14.017857;
18.5.-24.5.2015;6.410714;
25.5.-31.5.2015;4.642857;
1.6.-7.6.2015;3.642857;
8.6.-14.6.2015;14.446429;
15.6.-21.6.2015;7.553571;
22.6.-28.6.2015;29.339286;
29.6.-5.7.2015;8.375000;
6.7.-12.7.2015;9.339286;
13.7.-19.7.2015;8.375000;
20.7.-26.7.2015;7.946429;
27.7.-2.8.2015;9.107143;
3.8.-9.8.2015;9.375000;
10.8.-16.8.2015;15.089286;
17.8.-23.8.2015;13.982143;
24.8.-30.8.2015;21.500000;
31.8.-6.9.2015;9.642857;
7.9.-13.9.2015;32.392857;
14.9.-20.9.2015;17.571429;
21.9.-27.9.2015;7.196429;
28.9.-4.10.2015;8.464286;
5.10.-11.10.2015;29.410714;
12.10.-18.10.2015;15.625000;
19.10.-25.10.2015;6.714286;
26.10.-1.11.2015;4.571429;
2.11.-8.11.2015;20.821429;
9.11.-15.11.2015;16.660714;
16.11.-22.11.2015;7.267857;
23.11.-29.11.2015;3.303571;
30.11.-6.12.2015;11.678571;
7.12.-13.12.2015;13.750000;
14.12.-20.12.2015;19.089286;
21.12.-31.12.2015;13.500000;
