Date;Ap;
1.1.-7.1.2018;3.946429;
8.1.-14.1.2018;6.375000;
15.1.-21.1.2018;5.464286;
22.1.-28.1.2018;7.000000;
29.1.-4.2.2018;3.571429;
5.2.-11.2.2018;4.017857;
12.2.-18.2.2018;7.071429;
19.2.-25.2.2018;8.285714;
26.2.-4.3.2018;7.214286;
5.3.-11.3.2018;5.803571;
12.3.-18.3.2018;11.875000;
19.3.-25.3.2018;9.821429;
26.3.-1.4.2018;5.285714;
2.4.-8.4.2018;4.357143;
9.4.-15.4.2018;9.410714;
16.4.-22.4.2018;10.089286;
23.4.-29.4.2018;3.982143;
30.4.-6.5.2018;9.535714;
7.5.-13.5.2018;12.089286;
14.5.-20.5.2018;3.892857;
21.5.-27.5.2018;3.696429;
28.5.-3.6.2018;9.964286;
4.6.-10.6.2018;4.232143;
11.6.-17.6.2018;3.214286;
18.6.-24.6.2018;7.964286;
25.6.-1.7.2018;7.321429;
2.7.-8.7.2018;5.821429;
9.7.-15.7.2018;4.821429;
16.7.-22.7.2018;5.785714;
23.7.-29.7.2018;5.964286;
30.7.-5.8.2018;4.517857;
6.8.-12.8.2018;5.375000;
13.8.-19.8.2018;8.375000;
20.8.-26.8.2018;16.107143;
27.8.-2.9.2018;7.750000;
3.9.-9.9.2018;5.750000;
10.9.-16.9.2018;15.303571;
17.9.-23.9.2018;9.035714;
24.9.-30.9.2018;6.928571;
1.10.-7.10.2018;8.607143;
8.10.-14.10.2018;11.714286;
15.10.-21.10.2018;3.321429;
22.10.-28.10.2018;3.982143;
29.10.-4.11.2018;5.035714;
5.11.-11.11.2018;12.821429;
12.11.-18.11.2018;2.875000;
19.11.-25.11.2018;3.357143;
26.11.-2.12.2018;4.178571;
3.12.-9.12.2018;7.696429;
10.12.-16.12.2018;3.875000;
17.12.-23.12.2018;4.946429;
24.12.-30.12.2018;7.160714;
