Date;Ap;
1.1.-10.1.2016;10.337500;
11.1.-17.1.2016;7.982143;
18.1.-24.1.2016;15.232143;
25.1.-31.1.2016;3.714286;
1.2.-7.2.2016;7.428571;
8.2.-14.2.2016;9.232143;
15.2.-21.2.2016;19.125000;
22.2.-28.2.2016;4.553571;
29.2.-6.3.2016;8.839286;
7.3.-13.3.2016;10.875000;
14.3.-20.3.2016;15.821429;
21.3.-27.3.2016;6.482143;
28.3.-3.4.2016;10.357143;
4.4.-10.4.2016;7.178571;
11.4.-17.4.2016;15.142857;
18.4.-24.4.2016;6.785714;
25.4.-1.5.2016;6.589286;
2.5.-8.5.2016;20.321429;
9.5.-15.5.2016;11.214286;
16.5.-22.5.2016;9.178571;
23.5.-29.5.2016;5.910714;
30.5.-5.6.2016;8.857143;
6.6.-12.6.2016;9.285714;
13.6.-19.6.2016;9.357143;
20.6.-26.6.2016;8.339286;
27.6.-3.7.2016;6.267857;
4.7.-10.7.2016;10.428571;
11.7.-17.7.2016;9.714286;
18.7.-24.7.2016;9.125000;
25.7.-31.7.2016;8.428571;
1.8.-7.8.2016;15.357143;
8.8.-14.8.2016;8.982143;
15.8.-21.8.2016;5.089286;
22.8.-28.8.2016;9.017857;
29.8.-4.9.2016;22.142857;
5.9.-11.9.2016;9.017857;
12.9.-18.9.2016;4.625000;
19.9.-25.9.2016;9.535714;
26.9.-2.10.2016;25.875000;
3.10.-9.10.2016;9.892857;
10.10.-16.10.2016;15.892857;
17.10.-23.10.2016;7.232143;
24.10.-30.10.2016;28.857143;
31.10.-6.11.2016;8.500000;
7.11.-13.11.2016;10.839286;
14.11.-20.11.2016;4.160714;
21.11.-27.11.2016;13.750000;
28.11.-4.12.2016;3.250000;
5.12.-11.12.2016;13.357143;
12.12.-18.12.2016;4.053571;
19.12.-25.12.2016;15.107143;
26.12.-31.12.2016;9.145833;
