Week;Zraneni;Ap
1.tyzden.2015;6;11.937500
2.tyzden.2015;6;13.857143
3.tyzden.2015;22;5.928571
4.tyzden.2015;9;6.714286
5.tyzden.2015;24;11.482143
6.tyzden.2015;12;12.303571
7.tyzden.2015;4;4.678571
8.tyzden.2015;6;10.285714
9.tyzden.2015;6;13.178571
tyzden.2015;8;13.321429
11.tyzden.2015;10;6.160714
12.tyzden.2015;14;35.642857
13.tyzden.2015;12;10.803571
tyzden.2015;14;8.803571
15.tyzden.2015;15;10.857143
16.tyzden.2015;9;18.321429
tyzden.2015;11;7.410714
18.tyzden.2015;15;5.250000
19.tyzden.2015;17;8.821429
20.tyzden.2015;21;14.017857
21.tyzden.2015;19;6.410714
22.tyzden.2015;18;4.642857
23.tyzden.2015;33;3.642857
24.tyzden.2015;22;14.446429
25.tyzden.2015;11;7.553571
26.tyzden.2015;9;29.339286
27.tyzden.2015;18;8.375000
28.tyzden.2015;23;9.339286
29.tyzden.2015;15;8.375000
30.tyzden.2015;20;7.946429
31.tyzden.2015;21;9.107143
32.tyzden.2015;22;9.375000
33.tyzden.2015;14;15.089286
34.tyzden.2015;20;13.982143
35.tyzden.2015;16;21.500000
36.tyzden.2015;22;9.642857
37.tyzden.2015;21;32.392857
38.tyzden.2015;24;17.571429
39.tyzden.2015;18;7.196429
40.tyzden.2015;14;8.464286
41.tyzden.2015;14;29.410714
42.tyzden.2015;19;15.625000
43.tyzden.2015;14;6.714286
44.tyzden.2015;18;4.571429
45.tyzden.2015;18;20.821429
46.tyzden.2015;16;16.660714
47.tyzden.2015;19;7.267857
48.tyzden.2015;19;3.303571
49.tyzden.2015;15;11.678571
50.tyzden.2015;17;13.750000
51.tyzden.2015;21;19.089286
52.tyzden.2015;22;13.500000
