Week;Nehodovost;Speed
1.tyzden.2018;178;363.273810
2.tyzden.2018;211;424.380952
3.tyzden.2018;312;393.023810
4.tyzden.2018;220;423.666667
5.tyzden.2018;229;351.255952
6.tyzden.2018;198;371.714286
7.tyzden.2018;234;382.910714
8.tyzden.2018;198;450.791667
9.tyzden.2018;228;386.476190
10.tyzden.2018;235;378.142857
11.tyzden.2018;229;424.988095
12.tyzden.2018;200;426.672619
13.tyzden.2018;228;432.178571
14.tyzden.2018;231;368.214286
15.tyzden.2018;267;452.940476
16.tyzden.2018;268;388.928571
17.tyzden.2018;273;360.517857
18.tyzden.2018;257;413.059524
19.tyzden.2018;248;536.732143
20.tyzden.2018;269;370.428571
21.tyzden.2018;263;372.166667
22.tyzden.2018;281;482.279762
23.tyzden.2018;276;402.619047
24.tyzden.2018;256;308.827381
25.tyzden.2018;287;432.505952
26.tyzden.2018;263;462.327381
27.tyzden.2018;306;387.476191
28.tyzden.2018;262;391.880952
29.tyzden.2018;283;410.357143
30.tyzden.2018;277;432.470238
31.tyzden.2018;289;352.488095
32.tyzden.2018;291;370.273810
33.tyzden.2018;261;432.017857
34.tyzden.2018;299;464.910714
35.tyzden.2018;253;444.744048
36.tyzden.2018;275;398.029762
37.tyzden.2018;301;498.136905
38.tyzden.2018;291;437.827381
39.tyzden.2018;271;422.672619
40.tyzden.2018;261;412.922619
41.tyzden.2018;298;493.357143
42.tyzden.2018;298;404.839286
43.tyzden.2018;288;351.494048
44.tyzden.2018;250;333.148809
45.tyzden.2018;254;490.994047
46.tyzden.2018;244;414.654762
47.tyzden.2018;286;363.934524
48.tyzden.2018;285;367.720238
49.tyzden.2018;282;472.000000
50.tyzden.2018;329;426.821429
51.tyzden.2018;344;431.458333
52.tyzden.2018;168;423.505952
