Week;Zraneni;
1.tyzden.2018;12;
2.tyzden.2018;22;
3.tyzden.2018;18;
4.tyzden.2018;15;
5.tyzden.2018;10;
6.tyzden.2018;18;
7.tyzden.2018;15;
8.tyzden.2018;13;
9.tyzden.2018;10;
10.tyzden.2018;15;
11.tyzden.2018;16;
12.tyzden.2018;9;
13.tyzden.2018;16;
14.tyzden.2018;22;
15.tyzden.2018;14;
16.tyzden.2018;30;
17.tyzden.2018;12;
18.tyzden.2018;13;
19.tyzden.2018;9;
20.tyzden.2018;19;
21.tyzden.2018;18;
22.tyzden.2018;22;
23.tyzden.2018;27;
24.tyzden.2018;14;
25.tyzden.2018;18;
26.tyzden.2018;18;
27.tyzden.2018;19;
28.tyzden.2018;18;
29.tyzden.2018;26;
30.tyzden.2018;28;
31.tyzden.2018;31;
32.tyzden.2018;23;
33.tyzden.2018;17;
34.tyzden.2018;37;
35.tyzden.2018;15;
36.tyzden.2018;13;
37.tyzden.2018;14;
38.tyzden.2018;17;
39.tyzden.2018;14;
40.tyzden.2018;35;
41.tyzden.2018;19;
42.tyzden.2018;19;
43.tyzden.2018;13;
44.tyzden.2018;21;
45.tyzden.2018;23;
46.tyzden.2018;22;
47.tyzden.2018;23;
48.tyzden.2018;17;
49.tyzden.2018;23;
50.tyzden.2018;22;
51.tyzden.2018;20;
52.tyzden.2018;6;
