Week;Nehodovost;
1.tyzden.2018;178;
2.tyzden.2018;211;
3.tyzden.2018;312;
4.tyzden.2018;220;
5.tyzden.2018;229;
6.tyzden.2018;198;
7.tyzden.2018;234;
8.tyzden.2018;198;
9.tyzden.2018;228;
10.tyzden.2018;235;
11.tyzden.2018;229;
12.tyzden.2018;200;
13.tyzden.2018;228;
14.tyzden.2018;231;
15.tyzden.2018;267;
16.tyzden.2018;268;
17.tyzden.2018;273;
18.tyzden.2018;257;
19.tyzden.2018;248;
20.tyzden.2018;269;
21.tyzden.2018;263;
22.tyzden.2018;281;
23.tyzden.2018;276;
24.tyzden.2018;256;
25.tyzden.2018;287;
26.tyzden.2018;263;
27.tyzden.2018;306;
28.tyzden.2018;262;
29.tyzden.2018;283;
30.tyzden.2018;277;
31.tyzden.2018;289;
32.tyzden.2018;291;
33.tyzden.2018;261;
34.tyzden.2018;299;
35.tyzden.2018;253;
36.tyzden.2018;275;
37.tyzden.2018;301;
38.tyzden.2018;291;
39.tyzden.2018;271;
40.tyzden.2018;261;
41.tyzden.2018;298;
42.tyzden.2018;298;
43.tyzden.2018;288;
44.tyzden.2018;250;
45.tyzden.2018;254;
46.tyzden.2018;244;
47.tyzden.2018;286;
48.tyzden.2018;285;
49.tyzden.2018;282;
50.tyzden.2018;329;
51.tyzden.2018;344;
52.tyzden.2018;168;
