Week;Nehodovost;AL
1.tyzden.2010;438;-19.773148
2.tyzden.2010;367;-33.738095
3.tyzden.2010;499;-45.369048
4.tyzden.2010;470;-39.101191
5.tyzden.2010;404;-59.291667
6.tyzden.2010;406;-27.773810
7.tyzden.2010;369;-78.541667
8.tyzden.2010;412;-36.851191
9.tyzden.2010;351;-54.226190
10.tyzden.2010;434;-68.428571
11.tyzden.2010;402;-59.886905
12.tyzden.2010;399;-31.928572
13.tyzden.2010;331;-109.184524
14.tyzden.2010;354;-274.779762
15.tyzden.2010;407;-79.404762
16.tyzden.2010;401;-73.089286
17.tyzden.2010;398;-41.946429
18.tyzden.2010;416;-180.595238
19.tyzden.2010;386;-38.244048
20.tyzden.2010;436;-64.773809
21.tyzden.2010;419;-107.059524
22.tyzden.2010;433;-172.660715
23.tyzden.2010;444;-51.005952
24.tyzden.2010;390;-82.607143
25.tyzden.2010;360;-57.321428
26.tyzden.2010;443;-124.470238
27.tyzden.2010;429;-43.916667
28.tyzden.2010;408;-49.422619
29.tyzden.2010;411;-38.226190
30.tyzden.2010;404;-113.428572
31.tyzden.2010;391;-124.119048
32.tyzden.2010;408;-73.886905
33.tyzden.2010;427;-48.660714
34.tyzden.2010;414;-119.696429
35.tyzden.2010;378;-31.660714
36.tyzden.2010;403;-72.511905
37.tyzden.2010;417;-60.404762
38.tyzden.2010;434;-59.386905
39.tyzden.2010;451;-43.761905
40.tyzden.2010;428;-59.440476
41.tyzden.2010;464;-102.541667
42.tyzden.2010;461;-87.880952
43.tyzden.2010;477;-66.488095
44.tyzden.2010;363;-37.535714
45.tyzden.2010;451;-94.988095
46.tyzden.2010;461;-41.232143
47.tyzden.2010;490;-54.279762
48.tyzden.2010;494;-34.500000
49.tyzden.2010;437;-33.791667
50.tyzden.2010;474;-76.988095
51.tyzden.2010;408;-52.035714
52.tyzden.2010;314;-80.944444
