Week;Nehodovost;AL
1.tyzden.2012;233;-61.984375
2.tyzden.2012;256;-43.863095
3.tyzden.2012;292;-74.744048
4.tyzden.2012;250;-129.488095
5.tyzden.2012;199;-71.398809
6.tyzden.2012;208;-83.827381
7.tyzden.2012;309;-131.928572
8.tyzden.2012;225;-97.839286
9.tyzden.2012;207;-153.607143
10.tyzden.2012;201;-258.559524
11.tyzden.2012;209;-240.244048
12.tyzden.2012;235;-75.452381
13.tyzden.2012;198;-100.553571
14.tyzden.2012;215;-114.154762
15.tyzden.2012;201;-108.065476
16.tyzden.2012;225;-99.065476
17.tyzden.2012;294;-189.535714
18.tyzden.2012;269;-50.065476
19.tyzden.2012;257;-164.488095
20.tyzden.2012;248;-86.571429
21.tyzden.2012;258;-107.779762
22.tyzden.2012;250;-85.166667
23.tyzden.2012;292;-148.488095
24.tyzden.2012;280;-140.232143
25.tyzden.2012;301;-73.904762
26.tyzden.2012;279;-125.708333
27.tyzden.2012;275;-115.976191
28.tyzden.2012;303;-260.095238
29.tyzden.2012;249;-172.166667
30.tyzden.2012;253;-83.952381
31.tyzden.2012;258;-108.440476
32.tyzden.2012;258;-89.458333
33.tyzden.2012;274;-122.892857
34.tyzden.2012;277;-133.851190
35.tyzden.2012;265;-80.922619
36.tyzden.2012;294;-178.083333
37.tyzden.2012;297;-46.309524
38.tyzden.2012;270;-86.738095
39.tyzden.2012;270;-46.595238
40.tyzden.2012;287;-90.750000
41.tyzden.2012;273;-262.922619
42.tyzden.2012;337;-50.654762
43.tyzden.2012;289;-56.785714
44.tyzden.2012;268;-83.315476
45.tyzden.2012;290;-52.976190
46.tyzden.2012;263;-127.821428
47.tyzden.2012;299;-112.089286
48.tyzden.2012;251;-40.547619
49.tyzden.2012;344;-21.297619
50.tyzden.2012;344;-60.273810
51.tyzden.2012;342;-79.005952
52.tyzden.2012;208;-29.270833
