Week;Zraneni;
1.tyzden.2017;16;
2.tyzden.2017;7;
3.tyzden.2017;10;
4.tyzden.2017;6;
5.tyzden.2017;20;
6.tyzden.2017;6;
7.tyzden.2017;12;
8.tyzden.2017;10;
9.tyzden.2017;12;
10.tyzden.2017;11;
11.tyzden.2017;9;
12.tyzden.2017;16;
13.tyzden.2017;22;
14.tyzden.2017;10;
15.tyzden.2017;16;
16.tyzden.2017;15;
17.tyzden.2017;13;
18.tyzden.2017;27;
19.tyzden.2017;20;
20.tyzden.2017;21;
21.tyzden.2017;16;
22.tyzden.2017;21;
23.tyzden.2017;16;
24.tyzden.2017;13;
25.tyzden.2017;13;
26.tyzden.2017;33;
27.tyzden.2017;18;
28.tyzden.2017;14;
29.tyzden.2017;25;
30.tyzden.2017;20;
31.tyzden.2017;35;
32.tyzden.2017;17;
33.tyzden.2017;24;
34.tyzden.2017;15;
35.tyzden.2017;17;
36.tyzden.2017;14;
37.tyzden.2017;24;
38.tyzden.2017;15;
39.tyzden.2017;17;
40.tyzden.2017;13;
41.tyzden.2017;22;
42.tyzden.2017;22;
43.tyzden.2017;8;
44.tyzden.2017;14;
45.tyzden.2017;21;
46.tyzden.2017;20;
47.tyzden.2017;14;
48.tyzden.2017;13;
49.tyzden.2017;26;
50.tyzden.2017;16;
51.tyzden.2017;15;
52.tyzden.2017;10;
