Week;Usmrteni;
1.tyzden.2017;0;
2.tyzden.2017;4;
3.tyzden.2017;7;
4.tyzden.2017;13;
5.tyzden.2017;6;
6.tyzden.2017;7;
7.tyzden.2017;6;
8.tyzden.2017;6;
9.tyzden.2017;5;
10.tyzden.2017;4;
11.tyzden.2017;7;
12.tyzden.2017;8;
13.tyzden.2017;13;
14.tyzden.2017;5;
15.tyzden.2017;6;
16.tyzden.2017;6;
17.tyzden.2017;3;
18.tyzden.2017;6;
19.tyzden.2017;3;
20.tyzden.2017;5;
21.tyzden.2017;2;
22.tyzden.2017;13;
23.tyzden.2017;9;
24.tyzden.2017;7;
25.tyzden.2017;6;
26.tyzden.2017;4;
27.tyzden.2017;9;
28.tyzden.2017;10;
29.tyzden.2017;5;
30.tyzden.2017;5;
31.tyzden.2017;7;
32.tyzden.2017;2;
33.tyzden.2017;4;
34.tyzden.2017;12;
35.tyzden.2017;9;
36.tyzden.2017;7;
37.tyzden.2017;14;
38.tyzden.2017;8;
39.tyzden.2017;7;
40.tyzden.2017;8;
41.tyzden.2017;21;
42.tyzden.2017;8;
43.tyzden.2017;3;
44.tyzden.2017;2;
45.tyzden.2017;6;
46.tyzden.2017;2;
47.tyzden.2017;3;
48.tyzden.2017;9;
49.tyzden.2017;14;
50.tyzden.2017;5;
51.tyzden.2017;7;
52.tyzden.2017;2;
