Week;Zraneni;
1.tyzden.2011;11;
2.tyzden.2011;12;
3.tyzden.2011;13;
4.tyzden.2011;19;
5.tyzden.2011;10;
6.tyzden.2011;11;
7.tyzden.2011;9;
8.tyzden.2011;11;
9.tyzden.2011;18;
10.tyzden.2011;14;
11.tyzden.2011;12;
12.tyzden.2011;16;
13.tyzden.2011;24;
14.tyzden.2011;14;
15.tyzden.2011;13;
16.tyzden.2011;18;
17.tyzden.2011;16;
18.tyzden.2011;20;
19.tyzden.2011;17;
20.tyzden.2011;23;
21.tyzden.2011;23;
22.tyzden.2011;30;
23.tyzden.2011;21;
24.tyzden.2011;23;
25.tyzden.2011;20;
26.tyzden.2011;31;
27.tyzden.2011;19;
28.tyzden.2011;27;
29.tyzden.2011;19;
30.tyzden.2011;15;
31.tyzden.2011;13;
32.tyzden.2011;20;
33.tyzden.2011;31;
34.tyzden.2011;14;
35.tyzden.2011;20;
36.tyzden.2011;28;
37.tyzden.2011;23;
38.tyzden.2011;19;
39.tyzden.2011;19;
40.tyzden.2011;22;
41.tyzden.2011;15;
42.tyzden.2011;25;
43.tyzden.2011;14;
44.tyzden.2011;19;
45.tyzden.2011;20;
46.tyzden.2011;20;
47.tyzden.2011;21;
48.tyzden.2011;28;
49.tyzden.2011;22;
50.tyzden.2011;26;
51.tyzden.2011;27;
52.tyzden.2011;9;
