Week;Usmrteni;
1.tyzden.2011;11;
2.tyzden.2011;6;
3.tyzden.2011;9;
4.tyzden.2011;6;
5.tyzden.2011;1;
6.tyzden.2011;12;
7.tyzden.2011;6;
8.tyzden.2011;2;
9.tyzden.2011;11;
10.tyzden.2011;9;
11.tyzden.2011;8;
12.tyzden.2011;6;
13.tyzden.2011;10;
14.tyzden.2011;7;
15.tyzden.2011;6;
16.tyzden.2011;10;
17.tyzden.2011;10;
18.tyzden.2011;6;
19.tyzden.2011;2;
20.tyzden.2011;14;
21.tyzden.2011;10;
22.tyzden.2011;11;
23.tyzden.2011;9;
24.tyzden.2011;6;
25.tyzden.2011;9;
26.tyzden.2011;7;
27.tyzden.2011;10;
28.tyzden.2011;17;
29.tyzden.2011;10;
30.tyzden.2011;6;
31.tyzden.2011;5;
32.tyzden.2011;6;
33.tyzden.2011;10;
34.tyzden.2011;11;
35.tyzden.2011;4;
36.tyzden.2011;6;
37.tyzden.2011;10;
38.tyzden.2011;16;
39.tyzden.2011;6;
40.tyzden.2011;12;
41.tyzden.2011;11;
42.tyzden.2011;15;
43.tyzden.2011;16;
44.tyzden.2011;6;
45.tyzden.2011;5;
46.tyzden.2011;12;
47.tyzden.2011;4;
48.tyzden.2011;11;
49.tyzden.2011;8;
50.tyzden.2011;10;
51.tyzden.2011;14;
52.tyzden.2011;9;
